"specificEpithet","decimalLatitude","decimalLongitude"
"caliginosus",48.1659,-124.73246
"caliginosus",42.2625,-124.401
"caliginosus",43.2269,-124.3097
"caliginosus",43.34,-124.33
"caliginosus",47.68446,-124.33111
"caliginosus",42.053,-124.284
"caliginosus",42.302961,-124.254068
"caliginosus",43.27169,-124.26156
"caliginosus",47.3594,-124.292
"caliginosus",41.75611,-124.2006
"caliginosus",42.00528,-124.21417
"caliginosus",43.3681,-124.2158
"caliginosus",43.40667,-124.22306
"caliginosus",40.80207,-124.16367
"caliginosus",43.3636,-124.1917
"caliginosus",43.57831,-124.17386
"caliginosus",47.11278,-124.1725
"caliginosus",40.92511,-124.1157
"caliginosus",41.05944,-124.1419
"caliginosus",42.15867,-124.14389
"caliginosus",43.36,-124.11
"caliginosus",43.87772,-124.14082
"caliginosus",40.0223,-124.0567
"caliginosus",40.86667,-124.0817
"caliginosus",41.14237,-124.0586
"caliginosus",41.28427,-124.0601
"caliginosus",43.82321,-124.09989
"caliginosus",44.42678,-124.06873
"caliginosus",44.46291,-124.0687
"caliginosus",44.63694,-124.05222
"caliginosus",44.833,-124.063
"caliginosus",46.29139,-124.07083
"caliginosus",46.49148,-124.05016
"caliginosus",44.95816,-124.01789
"caliginosus",46.3526,-124.0164
"caliginosus",46.49843,-124.03349
"caliginosus",46.5086,-124.0124
"caliginosus",41.84556,-123.9683
"caliginosus",45.06232,-123.954
"caliginosus",45.89194,-123.96028
"caliginosus",46.7092,-123.988
"caliginosus",45.30315,-123.92345
"caliginosus",45.4347,-123.946
"caliginosus",45.4591,-123.9205
"caliginosus",46.9836,-123.937
"caliginosus",40.2662,-123.8703
"caliginosus",45.10317,-123.87765
"caliginosus",43.5525,-123.82056
"caliginosus",44.655,-123.82139
"caliginosus",46.18806,-123.83
"caliginosus",39.3078,-123.799
"caliginosus",39.9805,-123.7943
"caliginosus",40.14321,-123.79248
"caliginosus",39.7301,-123.6462
"caliginosus",40.276,-123.636
"caliginosus",46.98139,-123.60139
"caliginosus",42.26207,-123.58508
"caliginosus",44.38167,-123.59528
"caliginosus",44.5044,-123.552
"caliginosus",45.86588,-123.55372
"caliginosus",44.46,-123.52139
"caliginosus",42.34495,-123.45723
"caliginosus",41.28033,-123.4464
"caliginosus",42.5173,-123.4197
"caliginosus",44.4903,-123.433
"caliginosus",45.61957,-123.422
"caliginosus",43.21667,-123.34056
"caliginosus",42.0897,-123.2513
"caliginosus",43.06663,-123.2809
"caliginosus",44.5667,-123.283
"caliginosus",47.42167,-123.22167
"caliginosus",47.47812,-123.24404
"caliginosus",48.6736,-123.2051
"caliginosus",40.92541,-123.15392
"caliginosus",45.19235,-123.19359
"caliginosus",41.29735,-123.13032
"caliginosus",46.2389,-123.149
"caliginosus",46.96064,-123.10229
"caliginosus",47.2138,-123.11341
"caliginosus",38.98867,-123.0725
"caliginosus",39.00184,-123.08472
"caliginosus",46.82194,-123.095
"caliginosus",38.39028,-123.0369
"caliginosus",37.99025,-122.9654
"caliginosus",38.08325,-122.97333
"caliginosus",38.10814,-122.96297
"caliginosus",42.44169,-122.9996
"caliginosus",38.086311,-122.942824
"caliginosus",38.0456,-122.8636
"caliginosus",38.06667,-122.88333
"caliginosus",38.10103,-122.85693
"caliginosus",46.00861,-122.8433
