"specificEpithet","decimalLatitude","decimalLongitude"
"nevadensis",45.54894,-123.60252
"nevadensis",48.5833,-123.6166
"nevadensis",45.865822,-123.552024
"nevadensis",48.4833,-123.3833
"nevadensis",48.54093,-123.08601
"nevadensis",48.53426,-123.01712
"nevadensis",45.21,-122.97527
"nevadensis",45.14373,-122.85537
"nevadensis",45.52361,-122.675
"nevadensis",47.5921,-122.6626
"nevadensis",47.61287,-122.5968
"nevadensis",45.37351,-121.69592
"nevadensis",38.64472,-121.27111
"nevadensis",46.60207,-120.50589
"nevadensis",39.61279,-120.42351
"nevadensis",44.39547,-120.42031
"nevadensis",46.44762,-120.42033
"nevadensis",39.59517,-120.39332
"nevadensis",46.8285,-120.3612
"nevadensis",42.189,-120.346
"nevadensis",47.4216,-120.3092
"nevadensis",39.32565,-120.17383
"nevadensis",47.3283,-120.1451
"nevadensis",46.30263,-120.08143
"nevadensis",39.3133,-119.8956
"nevadensis",47.23429,-119.85255
"nevadensis",39.5272,-119.822
"nevadensis",39.1647,-119.776
"nevadensis",46.20679,-119.76892
"nevadensis",46.5075,-119.6981
"nevadensis",46.39,-119.58
"nevadensis",44.4682,-119.53581
"nevadensis",37.8896,-119.387
"nevadensis",37.91111,-119.25694
"nevadensis",46.2583,-119.2881
"nevadensis",47.13014,-119.27807
"nevadensis",35.31417,-119.18972
"nevadensis",37.86167,-119.10361
"nevadensis",47.941,-119.004
"nevadensis",38.68028,-118.84028
"nevadensis",44.4598,-118.7272
"nevadensis",45.639,-118.6849
"nevadensis",42.40722,-118.60556
"nevadensis",42.46417,-118.61222
"nevadensis",42.165,-118.53972
"nevadensis",45.81179,-118.49052
"nevadensis",42.772214,-118.446659
"nevadensis",46.6175,-118.3521
"nevadensis",46.0775,-118.3393
"nevadensis",44.96,-118.231
"nevadensis",45.32472,-118.08667
"nevadensis",40.37222,-117.99583
"nevadensis",45.02861,-117.91889
"nevadensis",34.11,-117.72
"nevadensis",47.6589,-117.4252
"nevadensis",46.6358,-117.375
"nevadensis",46.88016,-117.36434
"nevadensis",46.11186,-117.25697
"nevadensis",45.20833,-117.20333
"nevadensis",46.51869,-117.17965
"nevadensis",46.73139,-117.17861
"nevadensis",46.86238,-117.16683
"nevadensis",46.56794,-117.12849
"nevadensis",46.35875,-117.01667
"nevadensis",46.4167,-117.0167
"nevadensis",43.3388,-116.957
"nevadensis",43.7325,-116.99917
"nevadensis",46.7325,-116.9991
"nevadensis",43.78516,-116.9432
"nevadensis",46.7944,-116.9132
"nevadensis",46.91974,-116.89372
"nevadensis",47.85722,-116.86528
"nevadensis",46.33261,-116.80389
"nevadensis",47.9481,-116.8153
"nevadensis",46.46782,-116.7818
"nevadensis",47.94796,-116.70797
"nevadensis",48.00379,-116.68769
"nevadensis",47.47611,-116.60333
"nevadensis",46.5085,-116.55098
"nevadensis",46.73111,-116.46722
"nevadensis",46.7721,-116.47019
"nevadensis",43.97294,-116.32457
"nevadensis",43.61361,-116.2025
"nevadensis",43.6986,-116.1565
"nevadensis",41.5739,-115.8194
"nevadensis",40.56,-115.42
"nevadensis",48.54,-115.41
"nevadensis",40.4303,-115.3064
"nevadensis",41.7443,-115.3282
"nevadensis",41.02667,-115.085
