specificEpithet,decimalLatitude,decimalLongitude
occidentalis,48.26667,-124.675
occidentalis,48.31613,-124.65552
occidentalis,42.4075,-124.42056
occidentalis,42.45086,-124.42177
occidentalis,47.65376,-124.35802
occidentalis,47.79086,-124.38553
occidentalis,40.29142,-124.33777
occidentalis,48.05798,-124.34808
occidentalis,40.58112,-124.25996
occidentalis,40.66985,-124.20255
occidentalis,41.75594,-124.20174
occidentalis,43.3665,-124.21789
occidentalis,40.59818,-124.15727
occidentalis,40.77505,-124.18617
occidentalis,40.80207,-124.16367
occidentalis,40.85179,-124.16228
occidentalis,42.41346,-124.16639
occidentalis,43.36642,-124.15797
occidentalis,47.11278,-124.1725
occidentalis,40.4951,-124.1034
occidentalis,40.8955,-124.1101
occidentalis,40.92511,-124.1157
occidentalis,41.92805,-124.14694
occidentalis,43.39319,-124.1409
occidentalis,43.87772,-124.14082
occidentalis,44.092698,-124.106707
occidentalis,44.31139,-124.10361
occidentalis,40.86667,-124.08167
occidentalis,40.98468,-124.07771
occidentalis,41.28678,-124.05979
occidentalis,41.54694,-124.06528
occidentalis,43.86032,-124.07248
occidentalis,43.98278,-124.0986
occidentalis,44.42678,-124.06873
occidentalis,44.63694,-124.05222
occidentalis,46.28361,-124.05278
occidentalis,40.5687,-124.00567
occidentalis,41.51115,-124.02281
occidentalis,41.7675,-124.0077
occidentalis,44.6022,-124.0075
occidentalis,46.3526,-124.0164
occidentalis,46.4986,-124.03223
occidentalis,46.5086,-124.0124
occidentalis,48.09705,-124.01952
occidentalis,40.3218,-123.9217
occidentalis,45.43472,-123.94583
occidentalis,45.67503,-123.93662
occidentalis,45.99316,-123.92263
occidentalis,46.0225,-123.91
occidentalis,48.6166,-123.9333
occidentalis,40.01788,-123.87069
occidentalis,40.26484,-123.8747
occidentalis,47.97008,-123.86242
occidentalis,39.4417,-123.80596
occidentalis,40.11374,-123.82465
occidentalis,40.23451,-123.82437
occidentalis,43.5525,-123.82056
occidentalis,45.45621,-123.84401
occidentalis,46.18788,-123.83125
occidentalis,48.059,-123.8149
occidentalis,48.99,-123.84
occidentalis,39.27073,-123.78834
occidentalis,39.5296,-123.7589
occidentalis,40.04225,-123.79391
occidentalis,40.14321,-123.79248
occidentalis,46.1001,-123.75763
occidentalis,39.86541,-123.71601
occidentalis,41.18664,-123.70467
occidentalis,38.94003,-123.69245
occidentalis,39.7099,-123.6781
occidentalis,41.0504,-123.67422
occidentalis,45.96887,-123.68241
occidentalis,47.97639,-123.68694
occidentalis,39.7301,-123.6462
occidentalis,39.8332,-123.63196
occidentalis,44.3764,-123.606
occidentalis,46.98335,-123.60123
occidentalis,47.8021,-123.62752
occidentalis,48.5833,-123.6166
occidentalis,48.65368,-123.62312
occidentalis,48.7333,-123.6166
occidentalis,39.15902,-123.57871
occidentalis,42.365499,-123.555497
occidentalis,44.17067,-123.57899
occidentalis,44.38151,-123.59649
occidentalis,44.48818,-123.56097
occidentalis,44.50428,-123.55121
occidentalis,44.59691,-123.57029
occidentalis,44.63789,-123.57871
occidentalis,45.85111,-123.55038
occidentalis,40.76716,-123.544
occidentalis,41.30151,-123.54117
occidentalis,41.9803,-123.53245
occidentalis,42.11,-123.51
occidentalis,43.36394,-123.54114
occidentalis,47.4049,-123.5357
occidentalis,48.6056,-123.521
occidentalis,40.2056,-123.4909
occidentalis,42.1409,-123.4576
occidentalis,42.34495,-123.45723
occidentalis,44.87241,-123.49834
occidentalis,46.27,-123.46
occidentalis,40.4841,-123.4193
occidentalis,40.8693,-123.44421
occidentalis,42.11246,-123.41963
occidentalis,44.5042,-123.447
occidentalis,47.93914,-123.41928
occidentalis,48.12044,-123.43092
occidentalis,39.4096,-123.35556
occidentalis,39.47639,-123.37972
occidentalis,41.38219,-123.37995
occidentalis,41.64791,-123.37053
occidentalis,42.08966,-123.37817
occidentalis,42.1455,-123.3637
occidentalis,42.69528,-123.395
occidentalis,48.42914,-123.36506
occidentalis,48.4833,-123.3833
occidentalis,40.3732,-123.3253
occidentalis,41.05596,-123.33282
occidentalis,41.3818,-123.34117
occidentalis,42.1238,-123.3302
occidentalis,42.1813,-123.3382
occidentalis,42.43917,-123.3272
occidentalis,43.21667,-123.34056
occidentalis,44.81181,-123.33
occidentalis,45.86167,-123.32833
occidentalis,41.2999,-123.28566
occidentalis,44.57019,-123.27512
occidentalis,45.72,-123.29333
occidentalis,47.48035,-123.25338
occidentalis,47.95481,-123.25906
occidentalis,40.92541,-123.15392
occidentalis,43.96,-123.18
occidentalis,44.8512,-123.1868
occidentalis,45.85872,-123.19289
occidentalis,38.43443,-123.11471
occidentalis,42.05458,-123.14415
occidentalis,44.12583,-123.10444
occidentalis,44.46151,-123.11037
occidentalis,44.63667,-123.10472
occidentalis,45.44,-123.14
occidentalis,45.51983,-123.11066
occidentalis,47.35508,-123.10097
occidentalis,38.31102,-123.06611
occidentalis,38.40519,-123.09889
occidentalis,41.20573,-123.06333
occidentalis,42.432,-123.051
occidentalis,44.69872,-123.05193
occidentalis,45.51983,-123.05982
occidentalis,48.98556,-123.07667
occidentalis,38.338637,-123.035433
occidentalis,38.39028,-123.0369
occidentalis,39.171,-123.01221
occidentalis,41.01638,-123.030927
occidentalis,44.94289,-123.03509
occidentalis,45.73056,-123.00417
occidentalis,48.53426,-123.01712
occidentalis,38.07874,-122.96229
occidentalis,38.10814,-122.96297
occidentalis,38.18741,-122.96497
occidentalis,41.36125,-122.96836
occidentalis,44.51028,-122.96778
occidentalis,45.52306,-122.98861
occidentalis,46.66221,-122.96278
occidentalis,47.4333,-122.9666
occidentalis,38.086311,-122.942824
occidentalis,38.14756,-122.90548
occidentalis,41.99384,-122.94229
occidentalis,45.699,-122.925
occidentalis,47.03787,-122.90069
occidentalis,48.65444,-122.93694
occidentalis,48.7065,-122.9123
occidentalis,38.06667,-122.8833
occidentalis,38.13025,-122.86691
occidentalis,40.81425,-122.89392
occidentalis,40.86,-122.89
occidentalis,41.4568,-122.89475
occidentalis,42.32476,-122.87591
occidentalis,46.8376,-122.8876
occidentalis,47.236,-122.8908
occidentalis,41.30958,-122.80141
occidentalis,42.275,-122.818
occidentalis,46.00861,-122.8433
occidentalis,46.8555,-122.8471
occidentalis,47.63913,-122.83121
occidentalis,48.6776,-122.831
occidentalis,38.04617,-122.77022
occidentalis,38.0834,-122.7633
occidentalis,41.10097,-122.7803
occidentalis,47.01833,-122.77167
occidentalis,47.1494,-122.7947
occidentalis,48.14185,-122.76117
occidentalis,38.08587,-122.72514
occidentalis,38.8074,-122.74054
