"specificEpithet","decimalLatitude","decimalLongitude"
"appositus",48.26667,-124.675
"appositus",47.9692,-123.498
"appositus",44.31417,-123.29556
"appositus",44.5647,-123.2608
"appositus",44.63698,-123.26204
"appositus",40.583,-123.168
"appositus",44.85139,-123.18556
"appositus",44.63667,-123.10472
"appositus",45.5197,-123.111
"appositus",44.1371,-123.0665
"appositus",48.47751,-123.06435
"appositus",48.53426,-123.01712
"appositus",45.30011,-122.97315
"appositus",44.6875,-122.934
"appositus",41.065,-122.70306
"appositus",42.08349,-122.73063
"appositus",41.07542,-122.69918
"appositus",45.35747,-122.687989
"appositus",45.52345,-122.6762
"appositus",47.5921,-122.6626
"appositus",42.27179,-122.6074
"appositus",45.3572,-122.607
"appositus",41.31444,-122.31139
"appositus",47.60621,-122.332071
"appositus",42.8971,-122.1345
"appositus",43.178738,-122.13892
"appositus",37.6245,-122.0946
"appositus",42.88833,-122.09361
"appositus",44.4603,-121.6407
"appositus",46.15228,-121.44674
"appositus",47.19539,-120.93924
"appositus",38.5017,-120.7471
"appositus",48.7247,-120.6636
"appositus",47.23635,-120.64364
"appositus",48.59934,-120.54421
"appositus",47.5774,-120.486
"appositus",44.39547,-120.42031
"appositus",41.70479,-120.3026
"appositus",38.864,-120.067
"appositus",38.8339,-120.0439
"appositus",38.7474,-119.9379
"appositus",38.9772,-119.9058
"appositus",39.1983,-119.9067
"appositus",48.39298,-119.90317
"appositus",48.6848,-119.9255
"appositus",48.7657,-119.9396
"appositus",48.5946,-119.8706
"appositus",39.1647,-119.776
"appositus",39.09297,-119.73573
"appositus",38.3225,-119.6765
"appositus",38.3278,-119.636
"appositus",37.281,-119.2479
"appositus",41.46474,-118.94972
"appositus",48.8275,-118.9284
"appositus",44.4598,-118.7272
"appositus",36.45083,-118.5939
"appositus",37.70805,-118.4162
"appositus",46.04,-118.38
"appositus",46.0775,-118.3393
"appositus",46.66361,-118.2225
"appositus",44.35236,-118.18095
"appositus",45.15706,-118.06301
"appositus",45.19308,-118.04981
"appositus",45.2128,-118.02783
"appositus",45.533333,-117.966667
"appositus",45.02861,-117.9189
"appositus",45.19228,-117.93021
"appositus",46.09337,-117.87672
"appositus",46.2075,-117.771
"appositus",46.2464,-117.6347
"appositus",45.00649,-117.57936
"appositus",46.47398,-117.59011
"appositus",47.63734,-117.56119
"appositus",44.96838,-117.43202
"appositus",47.6589,-117.4252
"appositus",48.86389,-117.37139
"appositus",47.67528,-117.34472
"appositus",45.70638,-117.29303
"appositus",46.11186,-117.25697
"appositus",45.335,-117.222
"appositus",45.3525,-117.243
"appositus",46.10825,-117.2458
"appositus",46.82963,-117.24027
"appositus",46.73,-117.17
"appositus",46.86238,-117.16684
"appositus",44.881,-117.115
"appositus",46.56794,-117.12849
"appositus",46.8142,-117.0107
"appositus",43.7325,-116.99917
"appositus",44.02667,-116.96194
"appositus",44.5435,-116.9527
"appositus",46.7325,-116.99917
"appositus",46.7944,-116.9132
"appositus",48.49056,-116.9025
"appositus",46.2133,-116.8511
"appositus",46.4942,-116.8968
"appositus",46.7853,-116.8789
"appositus",47.34975,-116.8875
"appositus",47.85722,-116.86528
"appositus",46.2131,-116.8361
"appositus",48.3517,-116.84
"appositus",46.1589,-116.7864
"appositus",47.83194,-116.77639
"appositus",46.57889,-116.705
"appositus",47.93358,-116.70694
"appositus",45.4358,-116.6607
"appositus",46.73603,-116.67642
"appositus",47.47611,-116.60333
"appositus",46.5085,-116.55098
"appositus",46.79946,-116.55678
"appositus",48.27659,-116.55324
"appositus",46.322,-116.5421
"appositus",46.5676,-116.4476
"appositus",47.57528,-116.41167
"appositus",45.5712,-116.3048
"appositus",45.76155,-116.30069
"appositus",47.0108,-116.2531
"appositus",44.98977,-116.18861
"appositus",47.07935,-116.17478
"appositus",43.771557,-116.089005
"appositus",44.73099,-116.07808
"appositus",44.911,-116.09873
"appositus",48.07131,-116.06543
"appositus",45.04885,-115.92649
"appositus",45.43333,-115.91667
"appositus",47.47274,-115.92592
"appositus",41.5739,-115.8194
"appositus",45.8299,-115.57957
"appositus",41.795,-115.4878
"appositus",40.6513,-115.4129
"appositus",41.840535,-115.42889
"appositus",40.6252,-115.36742
"appositus",41.7443,-115.3282
"appositus",43.867,-114.717
"appositus",42.5629,-114.4608
"appositus",42.93601,-114.40587
"appositus",43.68083,-114.36278
"appositus",42.1862,-114.285
"appositus",48.7931,-114.2944
"appositus",48.38774,-114.23985
"appositus",46.0897,-114.1744
"appositus",46.2472,-114.1539
"appositus",46.08,-114.12
"appositus",45.723959,-113.94833
"appositus",41.846,-113.8786
"appositus",45.17575,-113.8959
"appositus",42.24554,-113.72489
"appositus",42.1988,-113.667
"appositus",42.2479,-113.68607
"appositus",46.7253,-113.684
"appositus",42.24831,-113.5601
"appositus",43.4749,-113.582
"appositus",43.41667,-113.51667
"appositus",48.69497,-113.49982
"appositus",41.90004,-113.40052
"appositus",41.94909,-113.34954
"appositus",41.95429,-113.31967
"appositus",37.3353,-113.274
"appositus",41.9828,-113.28
"appositus",45.4786,-113.1319
"appositus",40.4097,-113.0892
"appositus",42.06058,-113.08218
"appositus",37.6383,-113.027
"appositus",37.21,-112.98
"appositus",40.78556,-112.93972
"appositus",41.7083,-112.867
"appositus",37.5131,-112.792
"appositus",41.9636,-112.7089
"appositus",45.815702,-112.379808
"appositus",45.193566,-112.10639
"appositus",45.69194,-112.055
"appositus",41.40917,-112.0353
"appositus",41.66795,-112.00126
"appositus",41.736,-112.007
"appositus",41.22,-111.97
"appositus",41.382,-111.968
"appositus",45.7061,-111.9991
"appositus",41.416134,-111.94306
"appositus",41.4958,-111.943
"appositus",40.7619,-111.89
"appositus",41.6253,-111.8765
"appositus",35.4149,-111.8361
"appositus",40.63667,-111.8367
"appositus",41.4786,-111.8308
"appositus",41.5311,-111.8125
"appositus",41.7424,-111.8145
"appositus",41.83833,-111.8319
"appositus",41.7435,-111.786
"appositus",41.7667,-111.7895
"appositus",35.3341,-111.7101
"appositus",35.3751,-111.7331
"appositus",38.795068,-111.71028
"appositus",39.7686,-111.714
"appositus",40.4428,-111.7118
"appositus",41.7133,-111.7169
"appositus",41.7556,-111.7166
"appositus",41.9761,-111.7339
"appositus",42.1336,-111.7008
"appositus",35.3803,-111.6858
"appositus",38.41718,-111.68316
"appositus",40.2444,-111.661
"appositus",40.6411,-111.689
"appositus",40.6501,-111.6593
"appositus",41.6296,-111.6884
"appositus",41.8957,-111.6943
"appositus",41.915,-111.6711
"appositus",40.403,-111.602
"appositus",41.7287,-111.6362
"appositus",41.775,-111.6189
"appositus",41.822773,-111.609123
"appositus",41.89361,-111.64361
"appositus",41.905,-111.6391
"appositus",42.0836,-111.6209
"appositus",42.1375,-111.6214
"appositus",39.3597,-111.5856
"appositus",40.6084,-111.5507
"appositus",40.792,-111.5758
"appositus",41.4172,-111.5709
"appositus",41.5994,-111.5681
"appositus",41.8892,-111.5647
"appositus",39.4997,-111.547
"appositus",40.02662,-111.50491
"appositus",40.6099,-111.537
"appositus",41.4666,-111.5174
"appositus",41.9662,-111.5408
"appositus",39.3189,-111.4699
"appositus",39.45611,-111.435
"appositus",41.934,-111.4239
"appositus",42.22103,-111.40881
"appositus",40.4522,-111.3739
"appositus",41.88917,-111.385
"appositus",41.9479,-111.3907
"appositus",38.2085,-111.34745
"appositus",39.31167,-111.33611
"appositus",39.482403,-111.345035
"appositus",42.3258,-111.2969
"appositus",45.0618,-111.2555
"appositus",44.6622,-111.1042
"appositus",39.8938,-111.0527
"appositus",40.3561,-111.087
"appositus",40.7411,-111.0931
"appositus",40.1283,-111.0254
"appositus",43.7606,-111.0114
"appositus",45.67965,-111.03855
"appositus",43.7801,-110.963
"appositus",42.504662,-110.91361
"appositus",31.8333,-110.8522
"appositus",40.7056,-110.8833
"appositus",38.0657,-110.8185
"appositus",43.6567,-110.813
"appositus",38.0883,-110.7864
"appositus",38.1013,-110.7811
"appositus",40.40417,-110.7644
"appositus",41.8704,-110.7772
"appositus",43.49,-110.76
"appositus",31.416,-110.73
"appositus",32.43,-110.705
"appositus",43.7978,-110.7384
"appositus",44.9683,-110.7006
"appositus",45.0264,-110.702
"appositus",44.9769,-110.699
"appositus",45.88314,-110.62844
"appositus",43.9262,-110.5639
"appositus",41.7925,-110.5369
"appositus",43.8003,-110.5464
"appositus",44.5909,-110.50798
"appositus",40.1114,-110.4564
"appositus",44.7628,-110.4726
"appositus",44.8047,-110.4363
"appositus",44.8661,-110.4108
"appositus",44.9217,-110.4124
"appositus",40.8433,-109.9983
"appositus",47.0533,-109.911
"appositus",40.9854,-109.7334
"appositus",40.9053,-109.6147
"appositus",45.1975,-109.64222
"appositus",40.8833,-109.492
"appositus",45.06189,-109.40905
"appositus",38.4818,-109.2968
"appositus",37.2436,-109.2486
"appositus",38.43832,-109.22928
"appositus",38.43,-108.976
"appositus",39.581917,-108.952602
"appositus",38.5114,-108.9316
"appositus",39.5783,-108.806
"appositus",41.663,-108.7743
"appositus",38.4114,-108.6034
"appositus",39.06387,-108.55064
"appositus",45.42967,-108.53319
"appositus",37.23333,-108.47917
"appositus",44.8813,-108.4689
"appositus",37.580202,-108.356523
"appositus",44.8375,-108.38889
"appositus",37.274922,-108.171009
"appositus",39.4267,-108.1346
"appositus",39.4243,-108.0864
"appositus",39.0384,-107.9867
"appositus",39.062479,-107.953863
"appositus",39.124,-107.961
"appositus",38.99,-107.936
"appositus",39.0403,-107.9498
"appositus",40.037,-107.913
"appositus",44.80227,-107.90035
"appositus",37.275,-107.87
"appositus",38.094433,-107.833354
"appositus",38.15278,-107.76111
"appositus",37.81194,-107.66389
"appositus",38.0395,-107.68045
"appositus",38.5048,-107.662882
"appositus",44.7603,-107.5948
"appositus",39.572,-107.536
"appositus",40.10056,-107.5075
"appositus",38.071661,-107.462002
"appositus",38.32304,-107.4761
"appositus",37.231389,-107.350556
"appositus",40.766,-107.326
"appositus",38.929993,-107.299617
"appositus",44.01,-107.26
"appositus",34.11667,-107.2433
"appositus",38.926376,-107.247632
"appositus",39.242442,-107.211163
"appositus",38.849714,-107.174047
"appositus",39.05917,-107.11056
"appositus",38.690255,-107.09972
"appositus",38.95221,-107.06255
"appositus",39.0228,-107.0764
"appositus",44.1497,-107.0789
"appositus",39.010269,-107.042545
"appositus",39.5499,-107.0386
"appositus",38.517494,-106.968937
"appositus",38.710247,-106.98782
"appositus",38.8908,-106.9951
"appositus",38.90842,-106.989765
"appositus",38.959,-106.99
"appositus",39.03583,-106.99694
"appositus",44.68333,-106.9917
"appositus",37.84917,-106.9258
"appositus",38.7005,-106.9385
"appositus",38.973,-106.9437
"appositus",40.35333,-106.9181
"appositus",44.31898,-106.94241
"appositus",40.499471,-106.831715
"appositus",40.706,-106.824
"appositus",40.478267,-106.723402
"appositus",37.6688,-106.64
"appositus",38.527114,-106.621059
"appositus",40.060155,-106.637067
"appositus",40.412228,-106.607586
"appositus",40.5735,-106.6239
"appositus",38.5733,-106.5921
"appositus",40.0672,-106.58
"appositus",46.27444,-106.44475
"appositus",37.1142,-106.3742
"appositus",39.978,-106.353
"appositus",40.859697,-106.313084
"appositus",38.71371,-106.25265
"appositus",40.88583,-106.29361
"appositus",38.189949,-106.224697
"appositus",40.05692,-106.1753
"appositus",41.32129,-106.15729
"appositus",38.40377,-106.06725
"appositus",40.52734,-106.0298
"appositus",38.53472,-105.9983
