"specificEpithet","decimalLatitude","decimalLongitude"
"bifarius",48.65,-124.633
"bifarius",40.0223,-124.0567
"bifarius",41.84556,-123.9683
"bifarius",42.43139,-123.92933
"bifarius",48.617,-123.933
"bifarius",39.4417,-123.80596
"bifarius",48.983,-123.817
"bifarius",39.2268,-123.7689
"bifarius",39.33295,-123.77501
"bifarius",38.94003,-123.69245
"bifarius",48.583,-123.617
"bifarius",48.65,-123.617
"bifarius",48.62444,-123.57453
"bifarius",41.96575,-123.50289
"bifarius",48.6056,-123.521
"bifarius",41.08436,-123.47627
"bifarius",47.9692,-123.498
"bifarius",48.56336,-123.46399
"bifarius",47.93914,-123.41928
"bifarius",48.67,-123.42
"bifarius",41.1666,-123.39277
"bifarius",42.08966,-123.37817
"bifarius",48.433,-123.367
"bifarius",48.483,-123.383
"bifarius",48.79,-123.31
"bifarius",44.57,-123.27
"bifarius",47.49,-123.27
"bifarius",47.95481,-123.25906
"bifarius",39.15017,-123.20778
"bifarius",47.47812,-123.24404
"bifarius",48.76,-123.23
"bifarius",41.54985,-123.17837
"bifarius",43.333,-123.167
"bifarius",41.16119,-123.11296
"bifarius",41.5347,-123.1292
"bifarius",47.2138,-123.11341
"bifarius",47.52759,-123.14239
"bifarius",48.51947,-123.14733
"bifarius",38.31102,-123.06611
"bifarius",38.40519,-123.09889
"bifarius",38.98867,-123.0725
"bifarius",48.47751,-123.06435
"bifarius",38.338637,-123.035433
"bifarius",38.39028,-123.0369
"bifarius",41.01638,-123.030927
"bifarius",43.32373,-123.02395
"bifarius",48.4616,-123.0003
"bifarius",48.53413,-123.01711
"bifarius",48.55015,-123.03194
"bifarius",48.62174,-123.00058
"bifarius",37.99025,-122.9654
"bifarius",38.08325,-122.97333
"bifarius",38.10814,-122.96297
"bifarius",38.18708,-122.96497
"bifarius",38.25075,-122.96527
"bifarius",41.36125,-122.96836
"bifarius",42.44169,-122.99956
"bifarius",47.433,-122.967
"bifarius",48.64107,-122.97676
"bifarius",38.086311,-122.942824
"bifarius",38.1435,-122.91783
"bifarius",39.1622,-122.9114
"bifarius",45.699,-122.925
"bifarius",47.03787,-122.90069
"bifarius",38.06667,-122.88333
"bifarius",47.236,-122.8908
"bifarius",41.0471,-122.8492
"bifarius",46.8555,-122.8471
"bifarius",47.63913,-122.83121
"bifarius",48.61957,-122.83567
"bifarius",42.08143,-122.75889
"bifarius",47.01833,-122.77167
"bifarius",48.11696,-122.76042
"bifarius",41.0909,-122.7089
"bifarius",41.11264,-122.70724
"bifarius",41.20978,-122.7044
"bifarius",42.04734,-122.72943
"bifarius",42.08349,-122.73063
"bifarius",42.34097,-122.70581
"bifarius",48.91787,-122.74462
"bifarius",41.27986,-122.6778
"bifarius",46.88833,-122.6872
"bifarius",37.9402,-122.63803
"bifarius",42.05769,-122.6091
"bifarius",45.44623,-122.63926
"bifarius",37.52744,-122.51331
"bifarius",41.2167,-122.5167
"bifarius",37.67688,-122.45969
"bifarius",37.767,-122.451
"bifarius",41.1798,-122.47262
"bifarius",48.75955,-122.48822
"bifarius",37.775,-122.41833
"bifarius",42.273,-122.4301
"bifarius",47.25287,-122.44429
"bifarius",37.564,-122.352
"bifarius",41.23042,-122.3814
"bifarius",42.1177,-122.36615
"bifarius",43.5501,-122.3842
"bifarius",37.56299,-122.32552
"bifarius",41.30987,-122.31056
"bifarius",42.2411,-122.30762
"bifarius",42.49391,-122.34433
"bifarius",42.90313,-122.30127
"bifarius",44.69468,-122.32025
"bifarius",47.60639,-122.33083
"bifarius",37.88687,-122.29774
"bifarius",40.782992,-122.290721
"bifarius",41.32741,-122.26211
"bifarius",41.35361,-122.28056
