"specificEpithet","decimalLatitude","decimalLongitude"
"californicus",42.422773,-124.389059
"californicus",48.05798,-124.34808
"californicus",41.75611,-124.2006
"californicus",40.80222,-124.1625
"californicus",46.97389,-124.155
"californicus",40.92511,-124.1157
"californicus",40.86667,-124.0817
"californicus",44.42679,-124.06873
"californicus",46.49148,-124.05016
"californicus",40.9656,-124.036
"californicus",46.3526,-124.0164
"californicus",46.4986,-124.03223
"californicus",40.504,-123.9923
"californicus",41.84789,-123.96896
"californicus",45.3306,-123.9319
"californicus",45.67503,-123.93662
"californicus",47.46722,-123.8442
"californicus",40.22292,-123.64336
"californicus",45.54894,-123.60252
"californicus",44.5044,-123.552
"californicus",45.865822,-123.552024
"californicus",42.34495,-123.45723
"californicus",42.5173,-123.4197
"californicus",44.4903,-123.433
"californicus",45.86167,-123.32833
"californicus",48.41,-123.32
"californicus",42.21873,-123.27394
"californicus",43.598611,-123.282222
"californicus",44.57,-123.27
"californicus",44.65146,-123.26204
"californicus",42.435,-123.169
"californicus",45.19235,-123.19359
"californicus",45.21011,-123.19871
"californicus",48.13381,-123.19755
"californicus",45.5197,-123.111
"californicus",46.96064,-123.10229
"californicus",48.98556,-123.07667
"californicus",41.359861,-123.016981
"californicus",48.53426,-123.01712
"californicus",38.10814,-122.96297
"californicus",42.44169,-122.9996
"californicus",46.66221,-122.96278
"californicus",38.086311,-122.942824
"californicus",38.51,-122.93
"californicus",47.05933,-122.92552
"californicus",48.65444,-122.93694
"californicus",38.0456,-122.8636
"californicus",38.06667,-122.88333
"californicus",38.1011,-122.857
"californicus",46.89722,-122.86278
"californicus",39.72694,-122.84167
"californicus",46.00861,-122.8433
"californicus",48.61957,-122.83567
"californicus",48.14049,-122.76165
"californicus",39.260165,-122.714712
"californicus",38.0133,-122.664
"californicus",39.6735,-122.6964
"californicus",44.4103,-122.672
"californicus",45.35747,-122.687989
"californicus",42.07323,-122.60594
"californicus",42.27179,-122.6074
"californicus",45.3572,-122.607
"californicus",47.5784,-122.62205
"californicus",37.9292,-122.578
"californicus",37.9872,-122.589
"californicus",38.539353,-122.585816
"californicus",38.57876,-122.5797
"californicus",40.073209,-122.585282
"californicus",47.1024,-122.5873
"californicus",48.849,-122.587
