"specificEpithet","decimalLatitude","decimalLongitude"
"flavifrons",48.26667,-124.675
"flavifrons",48.35482,-124.54841
"flavifrons",47.7494,-124.439
"flavifrons",47.75039,-124.43284
"flavifrons",47.6744,-124.399
"flavifrons",48.28446,-124.38232
"flavifrons",48.25727,-124.28728
"flavifrons",48.1985,-124.09945
"flavifrons",47.8169,-124.046
"flavifrons",48.16322,-124.00009
"flavifrons",45.89194,-123.96028
"flavifrons",47.47291,-123.86828
"flavifrons",47.3214,-123.82
"flavifrons",47.46722,-123.8442
"flavifrons",44.3797,-123.707
"flavifrons",48.13632,-123.74628
"flavifrons",48.16125,-123.70521
"flavifrons",46.98139,-123.60139
"flavifrons",48.65,-123.6166
"flavifrons",42.26207,-123.58508
"flavifrons",42.64861,-123.58361
"flavifrons",44.5044,-123.552
"flavifrons",45.7236,-123.57
"flavifrons",47.6767,-123.596
"flavifrons",47.7206,-123.564
"flavifrons",41.96575,-123.50289
"flavifrons",44.46,-123.523
"flavifrons",48.10832,-123.5372
"flavifrons",42.1409,-123.4576
"flavifrons",47.9692,-123.498
"flavifrons",44.5042,-123.447
"flavifrons",47.4075,-123.433
"flavifrons",47.94269,-123.42516
"flavifrons",48.09788,-123.41248
"flavifrons",48.1027,-123.4105
"flavifrons",42.0979,-123.3759
"flavifrons",42.1166,-123.3905
"flavifrons",46.2158,-123.391
"flavifrons",48.433,-123.367
"flavifrons",48.4833,-123.3833
"flavifrons",42.1125,-123.3449
"flavifrons",48.02908,-123.3351
"flavifrons",42.21873,-123.27394
"flavifrons",44.5667,-123.283
"flavifrons",47.52163,-123.26067
"flavifrons",48.6994,-123.299
"flavifrons",47.42167,-123.22167
"flavifrons",47.47812,-123.24404
"flavifrons",48.105,-123.24903
"flavifrons",48.6736,-123.2051
"flavifrons",40.583,-123.168
"flavifrons",43.333,-123.167
"flavifrons",45.85889,-123.19167
"flavifrons",48.13611,-123.19167
"flavifrons",40.81017,-123.12021
"flavifrons",45.52,-123.10944
"flavifrons",46.96064,-123.10229
"flavifrons",48.14694,-123.12194
"flavifrons",48.51947,-123.14733
"flavifrons",47.4775,-123.08805
"flavifrons",44.86031,-123.01282
"flavifrons",45.73056,-123.00417
"flavifrons",47.8646,-123.0182
"flavifrons",48.4616,-123.0003
"flavifrons",48.53426,-123.01712
"flavifrons",48.55015,-123.03194
"flavifrons",48.62174,-123.00058
"flavifrons",42.44169,-122.99956
"flavifrons",48.64107,-122.97676
"flavifrons",47.05577,-122.92571
"flavifrons",48.52285,-122.9149
"flavifrons",38.6123,-122.8692
"flavifrons",46.84,-122.89
"flavifrons",47.0053,-122.899
"flavifrons",47.94124,-122.85664
"flavifrons",48.0001,-122.87635
"flavifrons",48.51715,-122.89218
"flavifrons",44.705,-122.84806
"flavifrons",47.5633,-122.807
"flavifrons",46.2967,-122.797
"flavifrons",41.065,-122.70306
"flavifrons",41.29979,-122.74858
"flavifrons",42.08349,-122.73063
"flavifrons",42.1914,-122.701
"flavifrons",44.62528,-122.72028
"flavifrons",45.8153,-122.728
"flavifrons",48.9322,-122.747
"flavifrons",44.4103,-122.672
"flavifrons",45.367,-122.683
"flavifrons",45.52345,-122.6762
"flavifrons",45.775,-122.67
"flavifrons",42.075,-122.60583
"flavifrons",42.27179,-122.6074
"flavifrons",44.7043,-122.6056
"flavifrons",44.851,-122.646
"flavifrons",45.3572,-122.607
"flavifrons",45.8942,-122.63
"flavifrons",47.70204,-122.62098
"flavifrons",47.8542,-122.606
"flavifrons",48.5126,-122.61267
"flavifrons",48.9097143515766,-122.630976868447
"flavifrons",46.52201,-122.55806
"flavifrons",42.2569,-122.506
"flavifrons",42.1231,-122.467
"flavifrons",44.3975,-122.481
"flavifrons",48.6833,-122.492
"flavifrons",48.7497159074465,-122.480969260742
"flavifrons",48.7503,-122.475
"flavifrons",37.78,-122.42
"flavifrons",42.1136,-122.437
"flavifrons",42.2833,-122.404
"flavifrons",42.31,-122.432
"flavifrons",45.17206,-122.43786
"flavifrons",45.9667,-122.411
"flavifrons",42.40556,-122.39472
"flavifrons",47.7128,-122.378
"flavifrons",48.17083,-122.36333
"flavifrons",41.3144,-122.311
"flavifrons",42.2411,-122.30762
"flavifrons",42.90313,-122.30127
"flavifrons",44.69468,-122.32025
"flavifrons",47.60639,-122.33083
"flavifrons",47.7031,-122.309
