"specificEpithet","decimalLatitude","decimalLongitude"
"griseocollis",44.5666,-123.2666
"griseocollis",44.852,-123.262
"griseocollis",44.85139,-123.18556
"griseocollis",45.5197,-123.111
"griseocollis",41.86172,-122.78192
"griseocollis",41.52083,-122.51917
"griseocollis",41.524396,-122.386127
"griseocollis",37.8717,-122.273
"griseocollis",40.87766,-121.56048
"griseocollis",45.59472,-121.1775
"griseocollis",48.51,-120.67
"griseocollis",46.60207,-120.50589
"griseocollis",39.61279,-120.42351
"griseocollis",39.57604,-120.36991
"griseocollis",47.42361,-120.30917
"griseocollis",45.71694,-120.1997
"griseocollis",47.3283,-120.1451
"griseocollis",48.33856,-120.10215
"griseocollis",46.2069,-119.766
"griseocollis",47.2492,-119.72
"griseocollis",46.5075,-119.6981
"griseocollis",46.4065,-119.6052
"griseocollis",46.3238,-119.3196
"griseocollis",46.3514,-119.3153
"griseocollis",47.08028,-119.33306
"griseocollis",47.13014,-119.27807
"griseocollis",47.6119,-119.291
"griseocollis",45.7411,-119.195
"griseocollis",46.23957,-119.10056
"griseocollis",47.94167,-119.00222
"griseocollis",47.9611,-118.9837
"griseocollis",42.81528,-118.89944
"griseocollis",45.639,-118.6849
"griseocollis",45.6704,-118.6836
"griseocollis",45.672033,-118.580283
"griseocollis",46.04,-118.38
"griseocollis",46.6175,-118.3521
"griseocollis",46.0775,-118.3393
"griseocollis",46.69917,-118.22611
"griseocollis",45.02861,-117.91889
"griseocollis",47.63734,-117.56119
"griseocollis",45.00633,-117.51675
"griseocollis",47.623,-117.5131
"griseocollis",46.7031,-117.469
"griseocollis",46.6358,-117.375
"griseocollis",46.73,-117.17
"griseocollis",46.56794,-117.12849
"griseocollis",43.80577,-117.00099
"griseocollis",46.4167,-117.0167
"griseocollis",43.7981,-116.952
"griseocollis",44.25111,-116.96833
"griseocollis",46.7325,-116.9991
"griseocollis",43.78516,-116.9432
"griseocollis",44.399,-116.8694
"griseocollis",46.4166,-116.89066
"griseocollis",46.4942,-116.8968
"griseocollis",44.85568,-116.83196
"griseocollis",46.46782,-116.7818
"griseocollis",43.45883,-116.67553
"griseocollis",43.66293,-116.68735
"griseocollis",44.2494,-116.6073
"griseocollis",43.21821,-116.55234
"griseocollis",42.9754,-116.4761
"griseocollis",43.87349,-116.4993
"griseocollis",46.73111,-116.46722
"griseocollis",43.97294,-116.32457
"griseocollis",45.5712,-116.3048
"griseocollis",43.61361,-116.2025
"griseocollis",42.93813,-115.95696
"griseocollis",42.8984,-115.6953
"griseocollis",42.90471,-115.69337
"griseocollis",43.12295,-115.6923
"griseocollis",42.9335,-115.55896
"griseocollis",42.54833,-114.95667
"griseocollis",42.9269,-114.9486
"griseocollis",42.74712,-114.84338
"griseocollis",42.59907,-114.75949
"griseocollis",42.51407,-114.68754
"griseocollis",42.63215,-114.53866
"griseocollis",42.5556,-114.471
"griseocollis",42.93601,-114.40587
"griseocollis",42.56301,-114.36165
"griseocollis",42.52963,-114.30614
"griseocollis",42.60574,-114.21086
"griseocollis",42.94601,-114.21448
"griseocollis",42.61,-114.08
"griseocollis",42.60806,-113.7825
"griseocollis",36.1612,-113.5534
"griseocollis",42.41268,-113.57806
"griseocollis",48.7114,-113.5808
"griseocollis",42.3433,-113.4028
"griseocollis",41.94909,-113.34954
"griseocollis",42.00611,-113.20278
"griseocollis",38.374,-113.126
"griseocollis",47.1903,-113.0558
"griseocollis",42.67389,-112.98556
"griseocollis",43.05301,-112.88662
"griseocollis",42.23491,-112.7947
"griseocollis",41.9636,-112.7089
"griseocollis",38.277,-112.641
"griseocollis",43.11658,-112.59859
"griseocollis",43.84139,-112.47528
"griseocollis",37.5913,-112.2575
"griseocollis",41.8756,-112.143
"griseocollis",41.77472,-112.09417
"griseocollis",41.6635,-112.008
"griseocollis",41.8356,-112.0019
"griseocollis",41.9203,-112.0492
"griseocollis",41.22,-111.97
"griseocollis",41.38,-111.97
"griseocollis",41.50332,-111.9996
"griseocollis",41.6528,-111.9878
"griseocollis",41.7692,-111.9808
"griseocollis",41.4958,-111.943
"griseocollis",41.63861,-111.9331
"griseocollis",40.76083,-111.89028
"griseocollis",41.91,-111.87
"griseocollis",40.5667,-111.801
"griseocollis",40.677,-111.826
"griseocollis",41.5311,-111.8125
"griseocollis",41.5689,-111.8372
"griseocollis",41.6329,-111.8309
"griseocollis",41.66328,-111.8336
"griseocollis",41.73997,-111.815
"griseocollis",41.7988,-111.8191
"griseocollis",41.8375,-111.8261
"griseocollis",41.9153,-111.8239
"griseocollis",40.41257,-111.76675
"griseocollis",41.5452,-111.7737
"griseocollis",41.7675,-111.7811
"griseocollis",34.9125,-111.7261
"griseocollis",40.23,-111.66
"griseocollis",41.6296,-111.6884
"griseocollis",40.124,-111.626
"griseocollis",39.2506,-111.5006
"griseocollis",46.52056,-111.49417
"griseocollis",37.7946,-111.4141
"griseocollis",39.3011,-111.4471
"griseocollis",47.50023,-111.3008
"griseocollis",39.8938,-111.0527
"griseocollis",38.0657,-110.8185
"griseocollis",38.5661,-110.7057
"griseocollis",45.88314,-110.62844
"griseocollis",38.99,-110.16
"griseocollis",40.2881,-109.8539
"griseocollis",37.52826,-109.68482
"griseocollis",40.338969,-109.374523
"griseocollis",38.8103,-109.3011
"griseocollis",31.9634,-109.2082
"griseocollis",40.530247,-109.01224
"griseocollis",42.83306,-108.73
"griseocollis",45.78328,-108.50069
"griseocollis",38.737,-108.142
"griseocollis",46.038699,-108.132966
