"specificEpithet","decimalLatitude","decimalLongitude"
"melanopygus",48.1659,-124.73246
"melanopygus",48.26667,-124.675
"melanopygus",48.35482,-124.54841
"melanopygus",42.4075,-124.42056
"melanopygus",42.053,-124.284
"melanopygus",41.75611,-124.2006
"melanopygus",40.80222,-124.1625
"melanopygus",44.31139,-124.10361
"melanopygus",47.19583,-124.145
"melanopygus",44.42694,-124.0675
"melanopygus",46.35232,-124.05432
"melanopygus",48.1985,-124.09945
"melanopygus",40.78102,-124.0058
"melanopygus",48.16322,-124.00009
"melanopygus",41.84556,-123.9683
"melanopygus",40.35541,-123.92587
"melanopygus",46.27306,-123.9442
"melanopygus",47.86539,-123.90466
"melanopygus",40.266252,-123.870315
"melanopygus",47.47291,-123.86828
"melanopygus",40.23472,-123.8225
"melanopygus",46.18806,-123.83
"melanopygus",47.46722,-123.84417
"melanopygus",48.996,-123.82
"melanopygus",46.10028,-123.75639
"melanopygus",48.13986,-123.76754
"melanopygus",48.0859,-123.74321
"melanopygus",48.13632,-123.74628
"melanopygus",48.16125,-123.70521
"melanopygus",39.7301,-123.6462
"melanopygus",40.22306,-123.64222
"melanopygus",40.276,-123.636
"melanopygus",42.16306,-123.64694
"melanopygus",48.13356,-123.62907
"melanopygus",48.5833,-123.6166
"melanopygus",48.7333,-123.6166
"melanopygus",45.865822,-123.552024
"melanopygus",41.96562,-123.50289
"melanopygus",48.10832,-123.5372
"melanopygus",43.49828,-123.48988
"melanopygus",45.61957,-123.422
"melanopygus",47.94269,-123.42516
"melanopygus",48.09788,-123.41248
"melanopygus",48.1027,-123.4105
"melanopygus",42.0979,-123.3759
"melanopygus",48.4333,-123.3666
"melanopygus",48.4833,-123.3833
"melanopygus",38.57769,-123.30917
"melanopygus",42.1238,-123.3302
"melanopygus",47.63925,-123.33572
"melanopygus",48.02908,-123.3351
"melanopygus",48.79,-123.31
"melanopygus",44.56472,-123.26083
"melanopygus",47.52203,-123.26044
"melanopygus",48.6994,-123.299
"melanopygus",39.15017,-123.20778
"melanopygus",47.42167,-123.22167
"melanopygus",48.6736,-123.2051
"melanopygus",45.8585,-123.1924
"melanopygus",41.9452,-123.1378
"melanopygus",45.52,-123.10944
"melanopygus",48.51947,-123.14733
"melanopygus",39.01778,-123.07307
"melanopygus",47.4775,-123.08805
"melanopygus",48.08472,-123.09333
"melanopygus",44.94306,-123.03389
"melanopygus",47.8646,-123.0182
"melanopygus",48.04322,-123.02807
"melanopygus",48.4618,-123.0046
"melanopygus",48.53444,-123.01583
"melanopygus",48.55015,-123.03194
"melanopygus",48.62174,-123.00058
"melanopygus",39.18989,-122.99138
"melanopygus",45.52306,-122.98861
"melanopygus",48.64107,-122.97676
"melanopygus",39.04295,-122.91582
"melanopygus",39.1622,-122.9114
"melanopygus",47.05933,-122.92552
"melanopygus",48.52285,-122.9149
"melanopygus",38.0456,-122.8636
"melanopygus",48.51715,-122.89218
"melanopygus",38.08627,-122.83952
"melanopygus",38.799,-122.808
"melanopygus",39.72694,-122.84167
"melanopygus",42.61068,-122.81254
"melanopygus",46.8555,-122.8471
"melanopygus",48.11696,-122.76042
"melanopygus",41.065,-122.70306
"melanopygus",42.08349,-122.73063
"melanopygus",37.987202,-122.652167
"melanopygus",45.52361,-122.675
"melanopygus",45.75472,-122.6603
"melanopygus",47.92556,-122.68222
"melanopygus",48.41972,-122.66306
"melanopygus",37.933,-122.633
"melanopygus",47.86937,-122.63451
"melanopygus",48.5126,-122.61267
"melanopygus",37.933,-122.583
"melanopygus",37.90611,-122.54389
"melanopygus",37.72,-122.495
"melanopygus",37.7669,-122.467
"melanopygus",37.82659,-122.48997
"melanopygus",48.65861,-122.47528
"melanopygus",37.78,-122.42
"melanopygus",38.573,-122.4421
"melanopygus",38.61528,-122.42667
"melanopygus",41.551635,-122.361311
"melanopygus",47.62,-122.351
"melanopygus",44.69468,-122.32025
"melanopygus",47.62972,-122.30666
"melanopygus",37.8715,-122.2658
"melanopygus",41.20821,-122.27195
"melanopygus",47.57843,-122.28956
"melanopygus",47.6953,-122.2703
"melanopygus",37.88306,-122.2375
"melanopygus",38.57768,-122.20719
"melanopygus",42.3787,-122.2123
"melanopygus",44.1175,-122.234167
"melanopygus",37.42722,-122.16917
"melanopygus",37.724926,-122.156078
"melanopygus",37.83167,-122.18667
"melanopygus",43.3194,-122.18837
"melanopygus",44.1753,-122.163
"melanopygus",37.973,-122.1283
"melanopygus",43.13683,-122.14285
"melanopygus",43.178738,-122.13892
"melanopygus",37.44583,-122.0625
"melanopygus",38.4093,-122.0792
"melanopygus",38.513,-122.0955
"melanopygus",37.9781,-122.03
"melanopygus",40.7599,-122.03996
"melanopygus",45.36788,-122.00958
"melanopygus",47.40649,-122.03872
"melanopygus",37.36,-121.97
"melanopygus",42.41806,-121.95194
"melanopygus",47.85556,-121.96972
"melanopygus",36.555,-121.923
"melanopygus",37.88159,-121.91354
"melanopygus",37.94103,-121.93579
"melanopygus",41.2704,-121.9447
"melanopygus",36.59862,-121.89071
"melanopygus",37.9572,-121.8617
"melanopygus",44.40222,-121.85028
"melanopygus",46.88333,-121.88333
"melanopygus",37.4824,-121.8331
"melanopygus",38.44546,-121.82329
"melanopygus",44.83348,-121.81437
"melanopygus",46.74983,-121.81259
"melanopygus",44.6742,-121.799
"melanopygus",44.7692,-121.7789
"melanopygus",45.30253,-121.77001
"melanopygus",45.69103,-121.76563
"melanopygus",46.85278,-121.75861
"melanopygus",45.30675,-121.73268
"melanopygus",45.3761,-121.733
"melanopygus",46.92222,-121.74127
"melanopygus",47.16485,-121.74509
"melanopygus",44.24362,-121.69646
"melanopygus",44.25608,-121.69052
"melanopygus",45.2956,-121.6944
"melanopygus",45.32592,-121.65996
"melanopygus",45.37361,-121.6944
"melanopygus",45.32514,-121.63603
"melanopygus",46.9026,-121.6412
"melanopygus",47.97611,-121.63528
"melanopygus",48.48766,-121.61444
"melanopygus",36.0696,-121.5889
"melanopygus",39.51389,-121.55528
"melanopygus",45.53806,-121.56722
"melanopygus",46.73833,-121.56556
"melanopygus",46.87205,-121.51564
"melanopygus",46.90314,-121.53564
"melanopygus",36.1212,-121.4543
"melanopygus",36.23165,-121.48328
"melanopygus",40.259882,-121.404695
"melanopygus",40.6781,-121.4317
"melanopygus",46.15228,-121.44674
"melanopygus",43.916962,-121.35557
"melanopygus",46.63835,-121.38967
"melanopygus",36.251,-121.252
"melanopygus",36.3269,-121.2779
"melanopygus",39.21917,-121.06
"melanopygus",39.92972,-121.05972
"melanopygus",47.74383,-121.08891
"melanopygus",48.48593,-121.0843
"melanopygus",48.15178,-121.01013
"melanopygus",47.7697,-120.9808
"melanopygus",39.93694,-120.94611
"melanopygus",38.4194,-120.8241
"melanopygus",39.20667,-120.81028
"melanopygus",48.58761,-120.8037
"melanopygus",36.35884,-120.78628
"melanopygus",38.88182,-120.70091
"melanopygus",48.51906,-120.73407
"melanopygus",36.46861,-120.68417
"melanopygus",38.442965,-120.667633
"melanopygus",47.25389,-120.6642
"melanopygus",48.72051,-120.67041
"melanopygus",38.518104,-120.642042
"melanopygus",48.59934,-120.54421
"melanopygus",37.376,-120.429
"melanopygus",38.53298,-120.4461
"melanopygus",38.60408,-120.43041
"melanopygus",38.64498,-120.39525
"melanopygus",38.83064,-120.32475
"melanopygus",35.35524,-120.25181
"melanopygus",37.71,-120.198
"melanopygus",37.9945,-120.0477
"melanopygus",38.1983,-120.009
"melanopygus",38.83379,-120.04157
"melanopygus",34.742,-119.9853
"melanopygus",37.485,-119.96528
"melanopygus",48.711,-119.9564
"melanopygus",38.30284,-119.93982
"melanopygus",39.1983,-119.9067
"melanopygus",48.6003,-119.9355
"melanopygus",48.7657,-119.9396
"melanopygus",48.8104,-119.9477
"melanopygus",48.8568,-119.9463
"melanopygus",37.66247,-119.87379
"melanopygus",48.8995,-119.8922
"melanopygus",34.035166,-119.843001
"melanopygus",34.528,-119.8295
"melanopygus",37.1667,-119.8344
"melanopygus",48.8663,-119.8434
"melanopygus",34.01667,-119.71667
"melanopygus",37.41865,-119.7289
"melanopygus",34.020228,-119.68489
"melanopygus",37.716,-119.665
"melanopygus",37.32806,-119.64833
"melanopygus",37.47854,-119.64043
"melanopygus",38.32789,-119.6371
"melanopygus",37.32466,-119.56625
"melanopygus",37.7456,-119.5983
"melanopygus",37.8483,-119.557
"melanopygus",37.31117,-119.53483
"melanopygus",37.0796,-119.45312
"melanopygus",37.11628,-119.44701
"melanopygus",37.1346,-119.38794
"melanopygus",34.50804,-119.2915
"melanopygus",36.92395,-119.24441
"melanopygus",36.94947,-119.15026
"melanopygus",37.631091,-118.984165
"melanopygus",36.4383,-118.9039
"melanopygus",48.6254,-118.9395
"melanopygus",36.5175,-118.79889
"melanopygus",36.562,-118.751
"melanopygus",37.415,-118.76944
"melanopygus",35.8799,-118.6832
"melanopygus",34.42916,-118.4423
"melanopygus",46.04,-118.38
"melanopygus",44.96,-118.231
"melanopygus",33.7652,-118.1883
"melanopygus",45.78056,-118.09167
"melanopygus",34.3018,-117.9176
"melanopygus",34.11,-117.72
"melanopygus",33.87166,-117.68866
"melanopygus",41.4933,-117.535
"melanopygus",33.95333,-117.39528
"melanopygus",48.86389,-117.37139
"melanopygus",45.1673,-117.2812
"melanopygus",36.10453,-117.19161
"melanopygus",46.73,-117.17
"melanopygus",47.00806,-117.14
"melanopygus",47.9122,-117.1107
"melanopygus",46.73,-116.99
"melanopygus",34.27,-116.9476
"melanopygus",46.7944,-116.9132
"melanopygus",46.96194,-116.94167
"melanopygus",46.8036,-116.869
"melanopygus",48.58798,-116.86685
"melanopygus",48.3517,-116.84
"melanopygus",33.74,-116.71806
"melanopygus",47.94796,-116.70797
"melanopygus",48.29945,-116.70358
"melanopygus",33.66919,-116.68112
"melanopygus",33.8145,-116.6792
"melanopygus",46.73603,-116.67642
"melanopygus",47.92684,-116.65179
"melanopygus",32.94611,-116.57528
"melanopygus",32.80833,-116.44833
"melanopygus",44.98977,-116.18861
"melanopygus",47.07935,-116.17478
"melanopygus",47.47274,-115.92592
"melanopygus",45.5966,-115.8609
"melanopygus",48.46319,-115.88951
"melanopygus",47.3492,-115.84
"melanopygus",48.3881,-115.554
"melanopygus",45.87972,-115.53944
"melanopygus",41.79484,-115.4893
"melanopygus",40.66422,-115.44721
"melanopygus",47.05797,-115.35264
"melanopygus",47.1072,-115.3745
"melanopygus",48.197158,-115.080841
"melanopygus",46.7248,-114.643
"melanopygus",46.63519,-114.57836
"melanopygus",47.15682,-114.44621
"melanopygus",36.3064,-114.1622
"melanopygus",46.2472,-114.1539
"melanopygus",36.3537,-114.1447
"melanopygus",45.69219,-113.95238
"melanopygus",48.30446,-113.98406
"melanopygus",48.5758,-113.91
"melanopygus",34.8999,-113.8833
"melanopygus",45.10342,-113.895
"melanopygus",48.5892,-113.896
"melanopygus",48.61515,-113.87173
"melanopygus",48.6772,-113.8164
"melanopygus",48.6333,-113.7503
"melanopygus",48.6236,-113.7186
"melanopygus",48.5989,-113.6989
"melanopygus",48.7992,-113.656
"melanopygus",48.7114,-113.5808
"melanopygus",45.8677,-113.45589
"melanopygus",45.83865,-113.43752
"melanopygus",44.6797,-113.35656
"melanopygus",45.4786,-113.1319
"melanopygus",37.2564,-112.9461
"melanopygus",37.233,-112.874
"melanopygus",37.0386,-112.715
"melanopygus",37.36,-112.18
"melanopygus",37.34,-112.12
"melanopygus",34.9132,-111.7187
"melanopygus",35.3751,-111.7331
"melanopygus",35.4162,-111.6716
"melanopygus",41.89436,-111.64246
"melanopygus",40.6099,-111.537
"melanopygus",39.3189,-111.4699
"melanopygus",44.4245,-111.3703
"melanopygus",39.482403,-111.345035
"melanopygus",40.1283,-111.0254
"melanopygus",32.4913,-110.9248
"melanopygus",40.40417,-110.7644
"melanopygus",43.7912,-110.7952
"melanopygus",32.43,-110.705
"melanopygus",43.7649,-110.7411
"melanopygus",44.9195,-110.7336
"melanopygus",44.9701,-110.6999
"melanopygus",46.85804,-110.67823
"melanopygus",32.45667,-110.49398
"melanopygus",44.7628,-110.4726
"melanopygus",44.8047,-110.4363
"melanopygus",44.7667,-110.2333
"melanopygus",40.8429,-109.9965
"melanopygus",40.76833,-109.83333
"melanopygus",40.8836,-109.8066
"melanopygus",43.2778,-109.8271
"melanopygus",45.1974,-109.6429
"melanopygus",44.7189,-109.3461
"melanopygus",45.94,-108.27
"melanopygus",39.62907,-108.2138
"melanopygus",39.04028,-107.94917
"melanopygus",37.6217,-107.623
"melanopygus",44.16488,-107.2138
"melanopygus",38.956381,-107.010601
"melanopygus",38.949925795574,-106.980409949938
"melanopygus",38.959164,-106.951884
"melanopygus",44.2413,-106.9864
"melanopygus",44.68333,-106.9917
"melanopygus",37.84917,-106.9258
"melanopygus",37.4831,-106.8025
"melanopygus",40.478267,-106.723402
"melanopygus",40.545,-106.6708
"melanopygus",35.962,-106.4897
"melanopygus",38.689159,-106.484196
"melanopygus",37.03944,-106.40556
"melanopygus",38.49667,-106.325
"melanopygus",38.5517,-106.292
"melanopygus",41.3645,-106.24
"melanopygus",39.7184,-106.1513
"melanopygus",40.1215,-106.1733
"melanopygus",40.073,-106.103
"melanopygus",37.469,-105.87
"melanopygus",40.4219,-105.8081
"melanopygus",39.5178,-105.727
"melanopygus",39.6958,-105.725
"melanopygus",40.43041,-105.73381
"melanopygus",39.1108,-105.6787
"melanopygus",39.45972,-105.66111
"melanopygus",39.6722,-105.6617
"melanopygus",39.898,-105.675
"melanopygus",40.309,-105.659
"melanopygus",40.3873,-105.6944
"melanopygus",39.5886,-105.6433
"melanopygus",39.6372,-105.605
"melanopygus",39.6753,-105.6006
"melanopygus",39.92302,-105.64832
"melanopygus",39.99415,-105.63387
"melanopygus",39.949,-105.564
"melanopygus",40.0111,-105.5797
"melanopygus",40.05248,-105.57645
"melanopygus",40.5614,-105.5971
"melanopygus",41.31139,-105.5906
"melanopygus",39.8908,-105.508
"melanopygus",39.917,-105.501
"melanopygus",40.0314,-105.5376
"melanopygus",40.083,-105.541
"melanopygus",39.91,-105.482
"melanopygus",39.62971,-105.41916
"melanopygus",39.9461,-105.4479
"melanopygus",39.9825,-105.4467
"melanopygus",40.055,-105.4471
"melanopygus",40.09,-105.36
"melanopygus",38.26445,-105.25152
"melanopygus",40.0275,-105.252
"melanopygus",39.4368,-105.11
"melanopygus",38.8688,-105.0603
"melanopygus",37.9063,-105.0099
"melanopygus",38.7904,-104.9063
"melanopygus",38.8307,-104.8818
"melanopygus",38.8678,-104.891
