"specificEpithet","decimalLatitude","decimalLongitude"
"mixtus",48.35482,-124.54841
"mixtus",42.4075,-124.42056
"mixtus",47.60452,-124.37241
"mixtus",43.34,-124.33
"mixtus",47.68446,-124.33111
"mixtus",42.053,-124.284
"mixtus",43.27169,-124.26156
"mixtus",48.25727,-124.28728
"mixtus",41.75611,-124.2006
"mixtus",40.80222,-124.1625
"mixtus",47.11278,-124.1725
"mixtus",40.9293,-124.1322
"mixtus",41.729,-124.146
"mixtus",44.092698,-124.106707
"mixtus",46.89009,-124.10406
"mixtus",47.19583,-124.145
"mixtus",40.86667,-124.0817
"mixtus",44.42679,-124.06873
"mixtus",44.455751,-124.06873
"mixtus",46.29139,-124.07083
"mixtus",46.35232,-124.05432
"mixtus",48.1985,-124.09945
"mixtus",46.33256,-124.03677
"mixtus",46.3526,-124.0164
"mixtus",46.4986,-124.03223
"mixtus",46.5086,-124.0124
"mixtus",48.16322,-124.00009
"mixtus",41.84556,-123.9683
"mixtus",45.89194,-123.96028
"mixtus",45.4591,-123.9205
"mixtus",46.98111,-123.88806
"mixtus",46.18806,-123.83
"mixtus",46.36125,-123.81525
"mixtus",47.46915,-123.8456
"mixtus",46.10028,-123.75639
"mixtus",48.0859,-123.74321
"mixtus",48.16509,-123.70637
"mixtus",44.83833,-123.65389
"mixtus",44.3764,-123.606
"mixtus",46.98335,-123.60123
"mixtus",48.13356,-123.62907
"mixtus",42.26207,-123.58508
"mixtus",42.64861,-123.58361
"mixtus",44.17083,-123.57778
"mixtus",44.38167,-123.59528
"mixtus",44.50428,-123.55121
"mixtus",44.638,-123.579
"mixtus",45.865822,-123.552024
"mixtus",41.96575,-123.50289
"mixtus",44.46,-123.52139
"mixtus",48.10832,-123.5372
"mixtus",42.78678,-123.46979
"mixtus",45.61957,-123.422
"mixtus",47.94269,-123.42516
"mixtus",48.09788,-123.41248
"mixtus",48.1027,-123.4105
"mixtus",48.65,-123.41667
"mixtus",42.0926,-123.3893
"mixtus",42.1134,-123.3608
"mixtus",44.54028,-123.36639
"mixtus",48.4333,-123.3666
"mixtus",48.4833,-123.3833
"mixtus",42.1238,-123.3302
"mixtus",43.21667,-123.34056
"mixtus",47.35185,-123.32477
"mixtus",48.02908,-123.3351
"mixtus",42.21873,-123.27394
"mixtus",44.5647,-123.2608
"mixtus",45.72,-123.29333
"mixtus",42.1243,-123.2357
"mixtus",44.6347,-123.24057
"mixtus",47.47812,-123.24404
"mixtus",48.105,-123.24903
