"specificEpithet","decimalLatitude","decimalLongitude"
"sitkensis",48.1659,-124.73246
"sitkensis",48.26667,-124.675
"sitkensis",48.35482,-124.54841
"sitkensis",47.6242,-124.37569
"sitkensis",47.95056,-124.38417
"sitkensis",48.06594,-124.32742
"sitkensis",42.053,-124.284
"sitkensis",48.25727,-124.28728
"sitkensis",41.75611,-124.2006
"sitkensis",43.367,-124.218
"sitkensis",40.54861,-124.16
"sitkensis",40.80222,-124.1625
"sitkensis",40.92511,-124.1157
"sitkensis",44.31139,-124.10361
"sitkensis",40.866516,-124.082836
"sitkensis",41.28694,-124.05861
"sitkensis",41.40262,-124.068409
"sitkensis",43.98278,-124.09861
"sitkensis",44.42694,-124.0675
"sitkensis",44.63694,-124.05222
"sitkensis",44.833,-124.063
"sitkensis",48.1985,-124.09945
"sitkensis",40.9656,-124.036
"sitkensis",46.30917,-124.04194
"sitkensis",48.16322,-124.00009
"sitkensis",41.2287,-123.9757
"sitkensis",41.84556,-123.9683
"sitkensis",45.89194,-123.96028
"sitkensis",40.35541,-123.92587
"sitkensis",45.4591,-123.9205
"sitkensis",47.47291,-123.86828
"sitkensis",45.45639,-123.84278
"sitkensis",46.18806,-123.83
"sitkensis",47.46722,-123.84417
"sitkensis",46.10028,-123.75639
"sitkensis",45.07028,-123.72556
"sitkensis",48.0859,-123.74321
"sitkensis",48.13632,-123.74628
"sitkensis",48.16509,-123.70637
"sitkensis",44.3764,-123.606
"sitkensis",45.71276,-123.60662
"sitkensis",42.26207,-123.58508
"sitkensis",44.38167,-123.59528
"sitkensis",44.504674,-123.551277
"sitkensis",44.5589,-123.569
"sitkensis",45.865822,-123.552024
"sitkensis",46.18528,-123.58472
"sitkensis",41.96575,-123.50289
"sitkensis",44.46,-123.523
"sitkensis",42.737237,-123.428206
"sitkensis",45.61957,-123.422
"sitkensis",48.09788,-123.41248
"sitkensis",48.1027,-123.4105
"sitkensis",48.4333,-123.3666
"sitkensis",38.59019,-123.31028
"sitkensis",44.7763,-123.3435
"sitkensis",47.35185,-123.32477
"sitkensis",48.02908,-123.3351
"sitkensis",44.56472,-123.26083
"sitkensis",44.65146,-123.26204
"sitkensis",45.72,-123.29333
"sitkensis",42.1243,-123.2357
"sitkensis",45.85889,-123.19167
"sitkensis",46.96064,-123.10229
"sitkensis",38.5351,-123.0853
"sitkensis",47.8646,-123.0182
"sitkensis",48.04322,-123.02807
"sitkensis",48.4618,-123.0046
"sitkensis",48.53426,-123.01712
"sitkensis",37.781667,-122.896667
"sitkensis",38.10111,-122.85583
"sitkensis",46.8555,-122.8471
"sitkensis",44.62528,-122.72028
"sitkensis",45.35747,-122.687989
"sitkensis",45.75472,-122.6603
"sitkensis",47.92556,-122.68222
"sitkensis",44.7043,-122.6056
"sitkensis",48.5126,-122.61267
"sitkensis",46.52201,-122.55806
"sitkensis",48.45861,-122.55917
"sitkensis",37.906038,-122.544979
"sitkensis",37.7129,-122.4726
"sitkensis",44.3975,-122.48056
"sitkensis",37.775,-122.41833
"sitkensis",48.17083,-122.36333
"sitkensis",44.154,-122.345
"sitkensis",47.6064,-122.3308
"sitkensis",37.8717,-122.2728
"sitkensis",47.57843,-122.28956
"sitkensis",47.69509,-122.27151
"sitkensis",42.38925,-122.21477
"sitkensis",45.1952,-122.2443
"sitkensis",44.17528,-122.16278
"sitkensis",47.83313,-122.12537
"sitkensis",43.63317,-122.04962
"sitkensis",45.36788,-122.00958
"sitkensis",47.16333,-122.0256
"sitkensis",47.2942,-121.9915
"sitkensis",48.10306,-121.95222
"sitkensis",48.5272,-121.97182
"sitkensis",48.27083,-121.92833
"sitkensis",46.88316,-121.88454
"sitkensis",45.30253,-121.77001
"sitkensis",45.69103,-121.76563
"sitkensis",45.2954,-121.7373
"sitkensis",47.16485,-121.74509
"sitkensis",48.53944,-121.745
"sitkensis",44.24362,-121.69646
"sitkensis",45.32592,-121.65996
"sitkensis",45.37351,-121.69592
"sitkensis",45.32514,-121.63603
"sitkensis",47.86216,-121.49251
"sitkensis",46.63835,-121.38967
"sitkensis",46.9757,-121.158
"sitkensis",47.74383,-121.08891
"sitkensis",48.48593,-121.0843
"sitkensis",48.58761,-120.8037
"sitkensis",47.23635,-120.64364
"sitkensis",44.14,-120.51
"sitkensis",47.63764,-120.44181
"sitkensis",46.41889,-120.3717
"sitkensis",48.7109,-119.9575
"sitkensis",48.6003,-119.9355
"sitkensis",45.74207,-118.23189
"sitkensis",46.09337,-117.87672
"sitkensis",46.73081,-117.17974
"sitkensis",47.921288,-117.114094
"sitkensis",48.85286,-116.27901
"sitkensis",47.25051,-115.91079
"sitkensis",45.5966,-115.8609
"sitkensis",47.36754,-115.81561
"sitkensis",47.2298,-115.6954
"sitkensis",47.24134,-115.64187
"sitkensis",47.05797,-115.35264
"sitkensis",47.1072,-115.3745
"sitkensis",46.84271,-115.18457
"sitkensis",46.5344,-114.995
"sitkensis",48.3858,-114.06
"sitkensis",45.69219,-113.95238
"sitkensis",48.30446,-113.98406
"sitkensis",48.14857,-113.91927
"sitkensis",48.7658,-113.7172
"sitkensis",47.725,-113.62556
"sitkensis",48.7114,-113.5808
"sitkensis",40.7619,-111.89
"sitkensis",40.3908,-111.645
"sitkensis",43.7978,-110.7384
"sitkensis",44.7667,-110.2333
"sitkensis",41.31139,-105.5906
