"specificEpithet","decimalLatitude","decimalLongitude"
"sylvicola",47.9109,-123.733
"sylvicola",47.52163,-123.26067
"sylvicola",41.01638,-123.030927
"sylvicola",48.4618,-123.0046
"sylvicola",39.1622,-122.9114
"sylvicola",47.57843,-122.28957
"sylvicola",46.8833,-121.8833
"sylvicola",44.1358,-121.7716
"sylvicola",45.32514,-121.63603
"sylvicola",46.15228,-121.44674
"sylvicola",47.74383,-121.08891
"sylvicola",48.4669,-121.0599
"sylvicola",48.51906,-120.73407
"sylvicola",41.98583,-120.17306
"sylvicola",38.906,-120.099
"sylvicola",38.02,-119.94
"sylvicola",39.3133,-119.8956
"sylvicola",38.30026,-119.59705
"sylvicola",37.9392,-119.3135
"sylvicola",37.922703,-119.267651
"sylvicola",37.56655,-118.97042
"sylvicola",37.423792,-118.772734
"sylvicola",36.4507,-118.5948
"sylvicola",42.683,-118.551
"sylvicola",37.3212,-118.5022
"sylvicola",37.5029,-118.2106
"sylvicola",44.937,-118.207
"sylvicola",44.96,-118.231
"sylvicola",37.385483,-118.177044
"sylvicola",45.20833,-117.20333
"sylvicola",39.284552,-117.1625
"sylvicola",47.74778,-117.0084
"sylvicola",39.99964,-116.71759
"sylvicola",44.98977,-116.18861
"sylvicola",41.7675,-115.7089
"sylvicola",41.8253,-115.7089
"sylvicola",41.79484,-115.4893
"sylvicola",40.66422,-115.44721
"sylvicola",40.5997,-115.3798
"sylvicola",43.9788,-114.9274
"sylvicola",44.21129,-114.94591
"sylvicola",39.78477,-114.72219
"sylvicola",43.5897,-114.7167
"sylvicola",39.0117,-114.3147
"sylvicola",45.46554,-113.99589
"sylvicola",45.69344,-113.94839
"sylvicola",47.1944,-113.5117
"sylvicola",41.90004,-113.40052
"sylvicola",44.97444,-113.44444
"sylvicola",44.48785,-113.26889
"sylvicola",45.4786,-113.1319
"sylvicola",37.1988,-112.9812
"sylvicola",37.63263,-112.82979
"sylvicola",37.48853,-112.5674
"sylvicola",37.5494,-112.2751
"sylvicola",41.1199,-112.058
"sylvicola",41.3752,-111.9638
"sylvicola",37.9737,-111.7241
"sylvicola",38.795068,-111.71028
"sylvicola",40.4428,-111.7118
