"specificEpithet","decimalLatitude","decimalLongitude"
"vandykei",43.86032,-124.07248
"vandykei",39.2268,-123.7689
"vandykei",41.0912,-123.7279
"vandykei",42.64861,-123.58361
"vandykei",41.08436,-123.47627
"vandykei",42.34495,-123.45723
"vandykei",45.61957,-123.422
"vandykei",42.1455,-123.3637
"vandykei",42.1403,-123.3447
"vandykei",43.21667,-123.34056
"vandykei",47.35185,-123.32477
"vandykei",44.57,-123.27
"vandykei",47.8391,-123.211
"vandykei",45.5217,-123.1246
"vandykei",46.96064,-123.10229
"vandykei",42.43178,-123.0506
"vandykei",41.01638,-123.030927
"vandykei",42.46845,-123.01004
"vandykei",42.44169,-122.9996
"vandykei",38.70768,-122.90249
"vandykei",42.08349,-122.73063
"vandykei",48.9322,-122.747
"vandykei",37.98269,-122.65484
"vandykei",41.880141,-122.634472
"vandykei",42.075,-122.60583
"vandykei",42.27179,-122.6074
"vandykei",37.90603,-122.54497
"vandykei",47.15704,-122.52873
"vandykei",42.73825,-122.4958
"vandykei",37.77493,-122.41941
"vandykei",41.486,-122.4445
"vandykei",47.25287,-122.44429
"vandykei",41.20833,-122.2708
"vandykei",44.2118,-122.256
"vandykei",41.41939,-122.2089
"vandykei",47.6977,-122.2115
"vandykei",41.3276,-122.1437
"vandykei",42.85447,-122.01797
"vandykei",44.65178,-121.84534
"vandykei",47.54,-121.80861
"vandykei",44.6742,-121.799
"vandykei",47.49565,-121.78677
"vandykei",36.22412,-121.66605
"vandykei",44.24362,-121.69646
"vandykei",44.25608,-121.69052
"vandykei",45.37351,-121.69592
"vandykei",45.70556,-121.52028
"vandykei",47.86216,-121.49251
"vandykei",42.3853,-121.3749
"vandykei",40.36411,-121.31096
"vandykei",36.3269,-121.2779
"vandykei",45.67583,-121.26861
"vandykei",39.92972,-121.05972
"vandykei",40.1779,-121.0774
"vandykei",38.53911,-120.95763
"vandykei",38.4194,-120.8241
"vandykei",47.23635,-120.64364
"vandykei",48.5993,-120.544
"vandykei",47.52234,-120.4698
"vandykei",37.96306,-120.44889
"vandykei",47.63764,-120.44181
"vandykei",42.1836,-120.349
"vandykei",46.37803,-120.34391
"vandykei",37.83904,-120.22264
"vandykei",37.96075,-120.23741
"vandykei",39.1403,-120.1916
"vandykei",39.32565,-120.17383
"vandykei",38.00222,-120.13611
"vandykei",34.68804,-120.03681
"vandykei",37.8248,-120.015
"vandykei",37.85159,-120.00268
"vandykei",38.47361,-120.0442
"vandykei",38.83448,-120.04433
"vandykei",37.8687,-119.9627
"vandykei",39.2513,-119.9719
"vandykei",37.97519,-119.91045
"vandykei",39.1983,-119.9067
"vandykei",48.6003,-119.9355
"vandykei",37.9822,-119.856
"vandykei",48.5946,-119.8706
"vandykei",37.0312,-119.6538
"vandykei",37.31117,-119.53483
"vandykei",37.748579,-119.548772
"vandykei",37.0796,-119.45312
"vandykei",36.81022,-119.38206
"vandykei",37.01883,-119.39929
"vandykei",37.06035,-119.36564
"vandykei",37.87881,-119.36543
"vandykei",36.82404,-119.32935
"vandykei",37.03697,-119.23976
"vandykei",37.23167,-119.235
"vandykei",34.92174,-118.92729
"vandykei",36.80832,-118.91842
"vandykei",42.81528,-118.89944
"vandykei",36.4918,-118.83188
"vandykei",36.5028,-118.8125
"vandykei",35.88022,-118.67369
"vandykei",36.45083,-118.5939
"vandykei",34.20389,-117.76061
"vandykei",34.0833,-117.717
"vandykei",34.28889,-117.64583
"vandykei",32.8472,-117.2733
"vandykei",34.0547,-117.183
"vandykei",46.73139,-117.17861
"vandykei",34.12195,-116.85308
"vandykei",33.81474,-116.67866
"vandykei",33.5014,-116.3075
"vandykei",38.06885,-111.33048
"vandykei",42.12215,-111.31464
