"specificEpithet","decimalLatitude","decimalLongitude"
"rufocinctus",48.13381,-123.19755
"rufocinctus",48.47751,-123.06435
"rufocinctus",48.4618,-123.0046
"rufocinctus",48.53426,-123.01712
"rufocinctus",48.55015,-123.03194
"rufocinctus",48.52285,-122.9149
"rufocinctus",38.08889,-122.87306
"rufocinctus",42.32787,-122.86829
"rufocinctus",41.86172,-122.78192
"rufocinctus",42.08349,-122.73063
"rufocinctus",47.1024,-122.5873
"rufocinctus",45.83972,-122.44528
"rufocinctus",41.50679,-122.32081
"rufocinctus",47.18556,-122.2917
"rufocinctus",42.38925,-122.21477
"rufocinctus",37.99196,-122.13058
"rufocinctus",43.18886,-122.1445
"rufocinctus",47.16333,-122.0256
"rufocinctus",42.41806,-121.95194
"rufocinctus",42.70472,-121.99472
"rufocinctus",42.44,-121.86722
"rufocinctus",36.888,-121.83328
"rufocinctus",37.397444,-121.802593
"rufocinctus",46.90314,-121.53564
"rufocinctus",41.73056,-121.3539
"rufocinctus",44.1454,-120.583
"rufocinctus",41.8976,-120.34752
"rufocinctus",42.1836,-120.349
"rufocinctus",41.449896,-120.251057
"rufocinctus",47.19944,-120.2758
"rufocinctus",39.32565,-120.17383
"rufocinctus",47.564413,-120.198434
"rufocinctus",39.77555,-120.0383
"rufocinctus",39.09297,-119.73573
"rufocinctus",46.4065,-119.6052
"rufocinctus",38.01667,-119.00833
"rufocinctus",48.5957,-118.8897
"rufocinctus",48.64833,-118.73667
"rufocinctus",45.639,-118.6849
"rufocinctus",45.6704,-118.6836
"rufocinctus",40.7399,-118.59655
"rufocinctus",37.36361,-118.3942
"rufocinctus",47.73174,-118.3755
"rufocinctus",44.96,-118.231
"rufocinctus",45.77617,-118.08175
"rufocinctus",45.533333,-117.966667
"rufocinctus",45.565,-117.91639
"rufocinctus",46.09337,-117.87672
"rufocinctus",44.775,-117.83333
"rufocinctus",45.5659,-117.7052
"rufocinctus",46.47398,-117.59011
"rufocinctus",47.63734,-117.56119
"rufocinctus",47.6231,-117.5133
"rufocinctus",47.6589,-117.4252
"rufocinctus",48.69167,-117.40667
"rufocinctus",46.63536,-117.37047
"rufocinctus",48.86389,-117.37139
"rufocinctus",45.2811,-117.212
"rufocinctus",46.10825,-117.2458
"rufocinctus",46.5852,-117.214
"rufocinctus",46.82963,-117.24027
"rufocinctus",39.284552,-117.1625
"rufocinctus",44.76917,-117.1675
"rufocinctus",46.73139,-117.17861
"rufocinctus",46.86238,-117.16684
"rufocinctus",46.56794,-117.12849
"rufocinctus",39.20771,-117.09731
"rufocinctus",46.91017,-117.07574
"rufocinctus",46.41655,-117.01765
"rufocinctus",47.74751,-117.01329
"rufocinctus",46.67778,-116.97583
"rufocinctus",46.73,-116.99
"rufocinctus",43.78488,-116.94287
"rufocinctus",44.00778,-116.91556
"rufocinctus",46.75488,-116.91071
"rufocinctus",46.81111,-116.91528
"rufocinctus",48.20017,-116.90305
"rufocinctus",44.399,-116.8694
"rufocinctus",45.1091,-116.8519
"rufocinctus",46.4942,-116.8968
"rufocinctus",46.7853,-116.8789
"rufocinctus",46.91974,-116.89372
"rufocinctus",47.3352,-116.88803
"rufocinctus",47.5976,-116.8876
"rufocinctus",48.3517,-116.84
"rufocinctus",46.65007,-116.76861
"rufocinctus",46.73683,-116.7696
"rufocinctus",47.67778,-116.77944
"rufocinctus",39.99972,-116.71667
"rufocinctus",46.57889,-116.705
"rufocinctus",47.94796,-116.70797
"rufocinctus",45.09472,-116.67528
"rufocinctus",45.4358,-116.6607
"rufocinctus",46.3747,-116.6722
"rufocinctus",44.2494,-116.6073
"rufocinctus",46.79946,-116.55678
"rufocinctus",48.27659,-116.55324
"rufocinctus",46.73111,-116.46722
"rufocinctus",45.09529,-116.35806
"rufocinctus",43.97294,-116.32457
"rufocinctus",45.422,-116.3151
"rufocinctus",45.5712,-116.3048
"rufocinctus",45.76155,-116.30069
"rufocinctus",44.97139,-116.28306
"rufocinctus",48.85286,-116.27901
"rufocinctus",43.6197,-116.182
"rufocinctus",44.98977,-116.18861
"rufocinctus",44.73084,-116.07721
"rufocinctus",44.83054,-116.07753
"rufocinctus",44.51628,-116.04179
"rufocinctus",46.22722,-116.02833
"rufocinctus",41.72003,-115.88476
"rufocinctus",40.8325,-115.7622
"rufocinctus",41.7675,-115.70889
"rufocinctus",41.8253,-115.7089
"rufocinctus",40.8325,-115.6667
"rufocinctus",41.75111,-115.67528
"rufocinctus",32.67889,-115.4981
"rufocinctus",40.69176,-115.47589
"rufocinctus",40.66422,-115.44721
"rufocinctus",40.5377,-114.7339
"rufocinctus",43.5897,-114.7167
"rufocinctus",42.63215,-114.53866
"rufocinctus",48.41107,-114.33763
"rufocinctus",48.7931,-114.2944
"rufocinctus",44.5047,-114.2309
"rufocinctus",46.24686,-114.16037
"rufocinctus",48.29,-114.02
"rufocinctus",45.4821,-113.9853
"rufocinctus",43.3078,-113.9439
"rufocinctus",41.8461,-113.879
"rufocinctus",45.17583,-113.895
"rufocinctus",48.7992,-113.656
"rufocinctus",43.4749,-113.582
"rufocinctus",43.41667,-113.51667
"rufocinctus",41.90004,-113.40052
"rufocinctus",41.96012,-113.44881
"rufocinctus",45.83865,-113.43752
"rufocinctus",42.30625,-113.19201
"rufocinctus",45.4786,-113.1319
"rufocinctus",41.7083,-112.867
"rufocinctus",48.444248,-112.842426
"rufocinctus",37.51,-112.68
"rufocinctus",47.82578,-112.54142
"rufocinctus",37.8228,-112.435
"rufocinctus",39.35048,-112.26824
"rufocinctus",36.671957,-112.185451
"rufocinctus",42.42852,-112.1244
"rufocinctus",39.95333,-112.0681
"rufocinctus",41.736,-112.007
"rufocinctus",42.61974,-112.00445
"rufocinctus",41.3752,-111.9638
"rufocinctus",41.7692,-111.9808
"rufocinctus",41.8628,-111.99
"rufocinctus",41.4958,-111.943
"rufocinctus",41.70405,-111.8505
"rufocinctus",35.2279,-111.8126
"rufocinctus",40.9999,-111.8349
"rufocinctus",41.4786,-111.8308
"rufocinctus",41.5311,-111.8125
"rufocinctus",41.66328,-111.8336
"rufocinctus",41.7356,-111.8336
"rufocinctus",41.8383,-111.8319
"rufocinctus",41.7675,-111.7811
"rufocinctus",44.01025,-111.7801
"rufocinctus",34.912516,-111.726826
"rufocinctus",34.99095,-111.74254
"rufocinctus",35.26246,-111.70282
"rufocinctus",37.9737,-111.7241
"rufocinctus",39.7841,-111.7284
"rufocinctus",40.4436,-111.7087
"rufocinctus",41.7133,-111.7169
"rufocinctus",41.7556,-111.7166
"rufocinctus",42.2281,-111.7147
"rufocinctus",35.34083,-111.6825
"rufocinctus",38.41718,-111.68316
"rufocinctus",41.6296,-111.6884
"rufocinctus",41.9233,-111.6564
"rufocinctus",40.3908,-111.645
"rufocinctus",40.63,-111.6038
"rufocinctus",41.7958,-111.645
"rufocinctus",41.89436,-111.64246
"rufocinctus",40.6065,-111.555
"rufocinctus",41.5731,-111.5833
"rufocinctus",41.8874,-111.5962
"rufocinctus",40.02662,-111.50491
"rufocinctus",40.6099,-111.537
"rufocinctus",48.93168,-111.5336
"rufocinctus",39.3422,-111.4651
"rufocinctus",39.8031,-111.4881
"rufocinctus",39.99,-111.49
"rufocinctus",40.6358,-111.4953
"rufocinctus",40.6619,-111.496
"rufocinctus",44.30858,-111.45519
"rufocinctus",39.1428,-111.4497
"rufocinctus",41.986,-111.409
"rufocinctus",42.22722,-111.40028
"rufocinctus",44.3766,-111.405
"rufocinctus",40.9178,-111.3986
"rufocinctus",41.8422,-111.3983
"rufocinctus",41.92526,-111.39666
"rufocinctus",38.04222,-111.32754
"rufocinctus",38.08854,-111.34347
"rufocinctus",38.14417,-111.3214
"rufocinctus",39.974,-111.34
"rufocinctus",41.8482,-111.3304
"rufocinctus",43.55894,-111.27963
"rufocinctus",44.7438,-111.259
"rufocinctus",44.75118,-111.26383
"rufocinctus",45.0618,-111.2555
"rufocinctus",40.6241,-111.20478
"rufocinctus",46.321295,-111.229284
"rufocinctus",44.6622,-111.1042
"rufocinctus",45.46143,-111.05084
"rufocinctus",39.9302,-111.0338
"rufocinctus",40.1283,-111.0254
"rufocinctus",45.59141,-111.04678
"rufocinctus",45.67972,-111.03778
"rufocinctus",42.822394,-110.977708
"rufocinctus",42.504662,-110.91361
"rufocinctus",40.7056,-110.8833
"rufocinctus",41.1578,-110.8513
"rufocinctus",38.0861,-110.8019
"rufocinctus",38.0883,-110.7864
"rufocinctus",40.40417,-110.7644
"rufocinctus",41.8361,-110.7703
"rufocinctus",41.865,-110.7653
"rufocinctus",43.2605,-110.7814
"rufocinctus",41.81611,-110.72333
"rufocinctus",43.7978,-110.7384
"rufocinctus",44.8903,-110.73
"rufocinctus",44.9499,-110.7001
"rufocinctus",45.0264,-110.702
"rufocinctus",44.9753,-110.693
"rufocinctus",45.88314,-110.62844
"rufocinctus",43.613006,-110.578166
"rufocinctus",45.31757,-110.56695
"rufocinctus",45.66243,-110.56103
"rufocinctus",41.7925,-110.5369
"rufocinctus",43.7781,-110.5043
"rufocinctus",43.8003,-110.5464
"rufocinctus",44.5909,-110.50798
"rufocinctus",45.2879,-110.53631
"rufocinctus",43.8797,-110.4762
"rufocinctus",44.7628,-110.4726
"rufocinctus",44.8255,-110.4462
"rufocinctus",44.8661,-110.4108
"rufocinctus",44.9217,-110.4124
"rufocinctus",41.31667,-110.38361
"rufocinctus",43.147454,-110.36139
"rufocinctus",43.8383,-110.3667
"rufocinctus",36.31231,-110.2678
"rufocinctus",42.175,-110.1875
"rufocinctus",34.080046,-109.901459
"rufocinctus",47.0533,-109.911
"rufocinctus",42.9066,-109.8375
"rufocinctus",43.2825,-109.8303
"rufocinctus",43.6665,-109.8134
"rufocinctus",48.555,-109.788
"rufocinctus",44.89985,-109.67314
"rufocinctus",45.1975,-109.64222
"rufocinctus",38.5725,-109.5478
"rufocinctus",46.861824,-109.549484
"rufocinctus",45.06189,-109.40905
"rufocinctus",46.859836,-109.4275
"rufocinctus",35.81389,-109.3094
"rufocinctus",37.8714,-109.3422
"rufocinctus",47.177772,-109.272033
"rufocinctus",37.24361,-109.2486
"rufocinctus",47.12694,-109.20139
"rufocinctus",47.19538,-109.23289
"rufocinctus",40.2972,-109.046
"rufocinctus",38.43,-108.976
"rufocinctus",39.581917,-108.952602
"rufocinctus",38.997,-108.901
"rufocinctus",42.1518,-108.8215
"rufocinctus",42.4902,-108.8168
"rufocinctus",42.73656,-108.83656
"rufocinctus",38.4114,-108.6034
"rufocinctus",38.5425,-108.6181
"rufocinctus",45.42967,-108.53319
"rufocinctus",46.184684,-108.54111
"rufocinctus",47.9178,-108.526
"rufocinctus",37.23333,-108.47917
"rufocinctus",35.6039,-108.448
"rufocinctus",39.041,-108.312
"rufocinctus",45.22457,-108.2407
"rufocinctus",39.170362,-108.150296
"rufocinctus",39.067,-108.106
"rufocinctus",37.338,-108.067
"rufocinctus",37.379,-108.076
"rufocinctus",40.51778,-108.0864
"rufocinctus",38.3531,-108.0371
"rufocinctus",39.096,-107.962
"rufocinctus",38.99,-107.936
"rufocinctus",40.037,-107.913
"rufocinctus",37.275,-107.87
"rufocinctus",38.094433,-107.833354
"rufocinctus",38.01361,-107.7525
"rufocinctus",44.53556,-107.7792
"rufocinctus",40.031,-107.729
"rufocinctus",37.80917,-107.65944
"rufocinctus",38.023,-107.671
"rufocinctus",40.10056,-107.5075
"rufocinctus",38.32304,-107.4761
"rufocinctus",40.644,-107.464
"rufocinctus",37.22556,-107.42
"rufocinctus",44.77306,-107.4057
"rufocinctus",44.793302,-107.377271
"rufocinctus",38.929993,-107.299617
"rufocinctus",39.382,-107.298
"rufocinctus",38.849714,-107.174047
"rufocinctus",39.321,-107.125
"rufocinctus",40.4829,-107.1147
"rufocinctus",38.690255,-107.09972
"rufocinctus",38.95221,-107.06255
"rufocinctus",39.9948,-107.0588
"rufocinctus",37.26944,-107.0092
"rufocinctus",38.911936,-107.003654
"rufocinctus",39.010269,-107.042545
"rufocinctus",38.517494,-106.968937
"rufocinctus",38.8908,-106.9951
"rufocinctus",38.9186,-106.9599
"rufocinctus",38.959,-106.99
"rufocinctus",39.03583,-106.99694
"rufocinctus",39.332,-106.979
"rufocinctus",44.68333,-106.9917
"rufocinctus",37.84917,-106.9258
"rufocinctus",38.545826,-106.92532
"rufocinctus",38.88333,-106.9431
"rufocinctus",39.09917,-106.94083
"rufocinctus",40.35333,-106.9181
"rufocinctus",44.31898,-106.94241
"rufocinctus",37.08199,-106.8281
"rufocinctus",38.69371,-106.84615
"rufocinctus",39.183333,-106.816667
"rufocinctus",40.485,-106.832
"rufocinctus",36.611684,-106.714161
"rufocinctus",37.205,-106.729
"rufocinctus",40.478267,-106.723402
"rufocinctus",38.527114,-106.621059
"rufocinctus",38.56667,-106.6111
"rufocinctus",40.060003,-106.561917
"rufocinctus",40.56,-106.5995
"rufocinctus",35.8783,-106.5014
"rufocinctus",46.27444,-106.44475
"rufocinctus",39.978,-106.353
"rufocinctus",34.7689,-106.3285
"rufocinctus",40.859697,-106.313084
"rufocinctus",42.86663,-106.31308
"rufocinctus",39.2508,-106.2925
"rufocinctus",40.028,-106.283
"rufocinctus",40.06083,-106.2911
"rufocinctus",40.761,-106.281
"rufocinctus",38.189949,-106.224697
"rufocinctus",38.84222,-106.2419
"rufocinctus",40.993,-106.213
"rufocinctus",41.3645,-106.24
"rufocinctus",38.27528,-106.19889
"rufocinctus",39.7184,-106.1513
"rufocinctus",41.32129,-106.15729
"rufocinctus",38.42222,-106.0864
"rufocinctus",39.2247,-106.0768
"rufocinctus",38.53472,-105.9983
"rufocinctus",38.83969,-105.98926
"rufocinctus",38.2486,-105.9486
"rufocinctus",40.08611,-105.9389
"rufocinctus",39.3772,-105.801
"rufocinctus",38.36556,-105.7572
"rufocinctus",32.95731,-105.74248
"rufocinctus",33.3425,-105.749
"rufocinctus",33.55806,-105.7072
"rufocinctus",39.6958,-105.725
"rufocinctus",40.3333,-105.7083
"rufocinctus",33.3414,-105.666
"rufocinctus",39.5975,-105.641
"rufocinctus",39.6753,-105.6006
"rufocinctus",39.99415,-105.63387
"rufocinctus",40.057658,-105.603287
"rufocinctus",40.3533,-105.603
"rufocinctus",37.75444,-105.5586
"rufocinctus",38.9979,-105.551
"rufocinctus",39.82972,-105.55277
"rufocinctus",39.905,-105.58861
"rufocinctus",40.0111,-105.5797
"rufocinctus",40.5614,-105.5971
"rufocinctus",41.0409,-105.5635
"rufocinctus",41.1732,-105.5823
"rufocinctus",41.35484,-105.5911
"rufocinctus",38.1543,-105.5394
"rufocinctus",39.7425,-105.514
"rufocinctus",39.7727,-105.5148
"rufocinctus",39.8865,-105.5049
"rufocinctus",39.94758,-105.52733
"rufocinctus",39.96139,-105.5103
"rufocinctus",40.046,-105.516
"rufocinctus",40.0722,-105.5078
"rufocinctus",40.1432,-105.5046
"rufocinctus",40.194,-105.526
"rufocinctus",40.3772,-105.5211
"rufocinctus",40.4302,-105.5076
"rufocinctus",38.1347,-105.466
"rufocinctus",39.91,-105.482
"rufocinctus",39.9501,-105.4928
"rufocinctus",40.0415,-105.4676
