"specificEpithet","decimalLatitude","decimalLongitude"
"vosnesenskii",42.4286,-124.42106
"vosnesenskii",42.422754,-124.350058
"vosnesenskii",47.60452,-124.37241
"vosnesenskii",43.34011,-124.33011
"vosnesenskii",42.05261,-124.28398
"vosnesenskii",42.10001,-124.2833
"vosnesenskii",43.27169,-124.26156
"vosnesenskii",41.75611,-124.20056
"vosnesenskii",41.93655,-124.20362
"vosnesenskii",42.00528,-124.2142
"vosnesenskii",43.40667,-124.22306
"vosnesenskii",40.80207,-124.16367
"vosnesenskii",43.57831,-124.17386
"vosnesenskii",47.11278,-124.1725
"vosnesenskii",40.88573,-124.13745
"vosnesenskii",40.92511,-124.1157
"vosnesenskii",40.9945,-124.112
"vosnesenskii",41.03744,-124.11817
"vosnesenskii",41.729,-124.146
"vosnesenskii",42.1609,-124.144
"vosnesenskii",43.39319,-124.1409
"vosnesenskii",43.951667,-124.118889
"vosnesenskii",40.0223,-124.0567
"vosnesenskii",40.86651,-124.08284
"vosnesenskii",40.98468,-124.07771
"vosnesenskii",41.0116,-124.0803
"vosnesenskii",41.28427,-124.0601
"vosnesenskii",43.36597,-124.07883
"vosnesenskii",43.82321,-124.09989
"vosnesenskii",43.86032,-124.07248
"vosnesenskii",43.98262,-124.09984
"vosnesenskii",44.42678,-124.06873
"vosnesenskii",46.28361,-124.05278
"vosnesenskii",46.35232,-124.05432
"vosnesenskii",46.49148,-124.05016
"vosnesenskii",40.34485,-124.0417
"vosnesenskii",40.5687,-124.00567
"vosnesenskii",41.51115,-124.02281
"vosnesenskii",41.7654,-124.0352
"vosnesenskii",46.33256,-124.03677
"vosnesenskii",46.49843,-124.03349
"vosnesenskii",46.53759,-124.04044
"vosnesenskii",40.504,-123.9923
"vosnesenskii",41.2287,-123.9757
"vosnesenskii",41.84556,-123.9683
"vosnesenskii",45.06232,-123.954
"vosnesenskii",45.56649,-123.95679
"vosnesenskii",40.3218,-123.9217
"vosnesenskii",45.72927,-123.94069
"vosnesenskii",40.01788,-123.87069
"vosnesenskii",40.2662,-123.8703
"vosnesenskii",40.76111,-123.89929
"vosnesenskii",40.9304,-123.86005
